UE-EUTRA-Capability field descriptions,,FDD/ TDD diff
pusch-SPS-MaxConfigSlotIndicates the max number of SPS configurations across all cells for slot PUSCH.,,Yes
pusch-SPS-MultiConfigSlotIndicates the number of multiple SPS configurations of slot PUSCH for each serving cell.,,Yes
pusch-SPS-MaxConfigSubframeIndicates the max number of SPS configurations across all cells for subframe PUSCH.,,Yes
pusch-SPS-MultiConfigSubframeIndicates the number of multiple SPS configurations of subframe PUSCH for each serving cell.,,Yes
pusch-SPS-MaxConfigSubslotIndicates the max number of SPS configurations across all cells for subslot PUSCH.,,-
pusch-SPS-MultiConfigSubslotIndicates the number of multiple SPS configurations of subslot PUSCH for each serving cell. This field is only applicable for UEs supporting FDD.,,-
pusch-SPS-SlotRepPCellIndicates whether the UE supports SPS repetition for slot PUSCH for PCell.,,Yes
pusch-SPS-SlotRepPSCellIndicates whether the UE supports SPS repetition for slot PUSCH for PSCell.,,Yes
pusch-SPS-SlotRepSCellIndicates whether the UE supports SPS repetition for slot PUSCH for serving cells other than SpCell.,,Yes
pusch-SPS-SubframeRepPCellIndicates whether the UE supports SPS repetition for subframe PUSCH for PCell.,,Yes
pusch-SPS-SubframeRepPSCellIndicates whether the UE supports SPS repetition for subframe PUSCH for PSCell.,,Yes
pusch-SPS-SubframeRepSCellIndicates whether the UE supports SPS repetition for subframe PUSCH for serving cells other than SpCell.,,Yes
pusch-SPS-SubslotRepPCellIndicates whether the UE supports SPS repetition for subslot PUSCH for PCell. This field is only applicable for UEs supporting FDD.,,-
pusch-SPS-SubslotRepPSCellIndicates whether the UE supports SPS repetition for subslot PUSCH for PSCell. This field is only applicable for UEs supporting FDD.,,-
pusch-SPS-SubslotRepSCellIndicates whether the UE supports SPS repetition for subslot PUSCH for serving cells other than SpCell. This field is only applicable for UEs supporting FDD.,,-
pusch-SRS-PowerControl-SubframeSetIndicates whether the UE supports subframe set dependent UL power control for PUSCH and SRS. This field is only applicable for UEs supporting TDD.,,Yes
"qcl-CRI-BasedCSI-ReportingIndicates whether the UE supports CRI based CSI feedback for the FeCoMP feature as specified in TS 36.213 [23], clause 7.1.10.",,-
"qcl-TypeC-OperationThe UE uses this field to indicate the support of all of the following three features: QCL Type-C operation for FeCoMP, the capability to support separate PDSCH RE mapping for different PDSCH CWs in non-coherent joint transmission and the capability to support handling new DMRS port to MIMO layer mapping for the CWs, as specified in TS 36.213 [23], clause 7.1.10.",,-
qoe-MeasReportIndicates whether the UE supports QoE Measurement Collection for streaming services.,,-
qoe-MTSI-MeasReportIndicates whether the UE supports QoE Measurement Collection for MTSI services.,,
"rach-LessIndicates whether the UE supports RACH-less handover, and whether the UE which indicates dc-Parameters supports RACH-less SeNB change, as defined in TS 36.300 [9].",,-
rach-ReportIndicates whether the UE supports delivery of rach-Report.,,-
"rach-ReportForNRIndicates whether the UE supports NR RACH report in LTE, upon request from the network.",,-
rai-SupportDefines whether the UE supports release assistance indication (RAI) as specified in TS 36.321 [6] for BL UEs.,,No
rai-SupportEnhIndicates whether the UE supports 2-bit RAI when connected to EPC as specified in TS 36.321 [6].,,-
"rclwiIndicates whether the UE supports RCLWI, i.e. reception of rclwi-Configuration. The UE which supports RLCWI shall also indicate support of interRAT-ParametersWLAN-r13. The UE which supports RCLWI and wlan-IW-RAN-Rules shall also support applying WLAN identifiers received in rclwi-Configuration for the access network selection and traffic steering rules when in RRC_IDLE.",,-
"recommendedBitRateIndicates whether the UE supports the bit rate recommendation message from the eNB to the UE as specified in TS 36.321 [6], clause 6.1.3.13.",,No
"recommendedBitRateMultiplierIndicates whether the UE supports the bit rate multiplier for recommended bit rate MAC CE as specified in TS 36.321 [6], clause 6.1.3.13. If this field is included, the UE shall also include the recommendedBitRate field.",,-
"recommendedBitRateQueryIndicates whether the UE supports the bit rate recommendation query message from the UE to the eNB as specified in TS 36.321 [6], clause 6.1.3.13. If this field is included, the UE shall also include the recommendedBitRate field.",,No
reducedCP-LatencyIndicates whether the UE supports reduced CP latency.,,Yes
"reducedIntNonContCombIndicates whether the UE supports receiving requestReducedIntNonContComb that requests the UE to exclude supported intra-band non-contiguous CA band combinations other than included in capability signalling as specified in TS 36.306 [5], clause 4.3.5.21.",,-
"reducedIntNonContCombRequestedIndicates that the UE excluded supported intra-band non-contiguous CA band combinations other than included in capability signalling as specified in TS 36.306 [5,] clause 4.3.5.21.",,-
reflectiveQoSIndicates whether the UE supports AS reflective QoS.,,No
"relWeightTwoLayers/ relWeightFourLayers/ relWeightEightLayersIndicates relative weight of processing FD-MIMO with 2/ 4/ 8 layers with respect to non-FD-MIMO with the same number of layers, see NOTE 8. Value v1 corresponds to relative weight of 1, value v1dot25 corresponds to relative weight of 1.25 and so on. This field can be included only if the UE supports the corresponding number of layers (i.e., 2/ 4/ 8 layers).",,-
reportCGI-NR-EN-DCIndicates whether the UE supports Inter-RAT report CGI procedure towards NR cell when it is configured with (NG)EN-DC.,,Yes
reportCGI-NR-NoEN-DCIndicates whether the UE supports Inter-RAT report CGI procedure towards NR cell when it is not configured with (NG)EN-DC.,,Yes
resumeWithMCG-SCellConfigIndicates whether the UE supports (re-)configuration of E-UTRA MCG SCells.,,-
resumeWithSCG-ConfigIndicates whether the UE supports (re-)configuration of an NR SCG.,,-
resumeWithStoredMCG-SCellsIndicates whether the UE supports not deleting the stored E-UTRA MCG SCell configuration when initiating the resume procedure.,,-
resumeWithStoredSCGIndicates whether the UE supports not deleting the stored NR SCG configuration when initiating the resume procedure.,,-
"srs-CapabilityPerBandPairListIndicates, for a particular pair of bands, the SRS carrier switching parameters when switching between the band pair to transmit SRS on a PUSCH-less SCell as specified in TS 36.212 [22] and TS 36.213 [23]. If included, the UE shall include a number of entries as indicated in the following, and listed in the same order, as in bandParameterList for the concerned band combination:-For the first band, the UE shall include the same number of entries as in bandParameterList i.e. first entry corresponds to first band in bandParameterList and so on,-For the second band, the UE shall include one entry less i.e. first entry corresponds to the second band in bandParameterList and so on-And so on.",,-
requestedBandsIndicates the frequency bands requested by E-UTRAN.,,-
"requestedCCsDL, requestedCCsULIndicates the maximum number of CCs requested by E-UTRAN.",,-
requestedDiffFallbackCombListIndicates the CA band combinations for which report of different UE capabilities is requested by E-UTRAN.,,-
"rf-RetuningTimeDLIndicates the interruption time on DL reception within a band pair during the RF retuning for switching between the band pair to transmit SRS on a PUSCH-less SCell. n0 represents 0 OFDM symbols, n0dot5 represents 0.5 OFDM symbols, n1 represents 1 OFDM symbol and so on. This field is mandatory present if switching between the band pair is supported.",,-
"rf-RetuningTimeULIndicates the interruption time on UL transmission within a band pair during the RF retuning for switching between the band pair to transmit SRS on a PUSCH-less SCell. n0 represents 0 OFDM symbols, n0dot5 represents 0.5 OFDM symbols, n1 represents 1 OFDM symbol and so on. This field is mandatory present if switching between the band pair is supported.",,-
rlc-AM-Ooo-DeliveryIndicates whether the UE supports out-of-order delivery from RLC to PDCP for RLC AM.,,-
rlc-UM-Ooo-DeliveryIndicates whether the UE supports out-of-order delivery from RLC to PDCP for RLC UM.,,-
rlm-ReportSupportIndicates whether the UE supports RLM event and information reporting.,,-
"rohc-ContextContinueSame as ""continueROHC-Context"" defined in TS 38.306 [87].",,No
"rohc-ContextMaxSessionsSame as ""maxNumberROHC-ContextSessions"" defined in TS 38.306 [87].",,No
"rohc-ProfilesSame as ""supportedROHC-Profiles"" defined in TS 38.306 [87].",,No
"rohc-ProfilesUL-OnlySame as ""uplinkOnlyROHC-Profiles"" defined in TS 38.306 [87].",,No
rsrqMeasWidebandIndicates whether the UE can perform RSRQ measurements with wider bandwidth.,,Yes
rsrq-OnAllSymbolsIndicates whether the UE can perform RSRQ measurement on all OFDM symbols and also support the extended RSRQ upper value range from -3dB to 2.5dB in measurement configuration and reporting as specified in TS 36.133 [16].,,No
rs-SINR-MeasIndicates whether the UE can perform RS-SINR measurements in RRC_CONNECTED as specified in TS 36.214 [48].,,-
rssi-AndChannelOccupancyReportingIndicates whether the UE supports performing measurements and reporting of RSSI and channel occupancy. This field can be included only if downlinkLAA is included.,,-
sa-NRIndicates whether the UE supports standalone NR as specified in TS 38.331 [82].,,No
"satelliteInfoConfigDedicatedThis field indicates whether the UE can be configured via dedicated signalling with NTN assistance information (i.e., satelliteId-r18 or ephemeris information in measObjectEUTRA) to measure an NTN cell in RRC_CONNECTED.",,-
"scalingFactorTxSidelink, scalingFactorRxSidelinkIndicates, for a particular band combination of EUTRA, the scaling facor, as defined in TS 38.306 [87], for the PC5 band combination(s) v2x-SupportedBandCombinationListEUTRA-NR on which the UE supports simultaneous transmission/reception of EUTRA and NR sidelink communication respectively, or simultaneous transmission or reception of EUTRA and joint V2X sidelink communication and NR sidelink communication respectively (as indicated by v2x-SupportedTxBandCombListPerBC-v1630 / v2x-SupportedRxBandCombListPerBC-v1630). The leading / leftmost value corresponds to the first band combination included in v2x-SupportedBandCombinationListEUTRA-NR which is indicated with value 1 by v2x-SupportedTxBandCombListPerBC-v1630 / v2x-SupportedRxBandCombListPerBC-v1630, the next value corresponds to the second band combination included in v2x-SupportedBandCombinationListEUTRA-NR which is indicated with value 1 by v2x-SupportedTxBandCombListPerBC-v1630 / v2x-SupportedRxBandCombListPerBC-v1630 and so on. For each value of ScalingFactorSidelink-r16, value f0p4 indicates the scaling factor 0.4, f0p75 indicates 0.75, and so on.",,-
"scptm-AsyncDCIndicates whether the UE in RRC_CONNECTED supports MBMS reception via SC-MRB on a frequency indicated in an MBMSInterestIndication message, where (according to supportedBandCombination) the carriers that are or can be configured as serving cells in the MCG and the SCG are not synchronized. If this field is included, the UE shall also include scptm-SCell and scptm-NonServingCell.",,Yes
"scptm-NonServingCellIndicates whether the UE in RRC_CONNECTED supports MBMS reception via SC-MRB on a frequency indicated in an MBMSInterestIndication message, where (according to supportedBandCombination and to network synchronization properties) a serving cell may be additionally configured. If this field is included, the UE shall also include the scptm-SCell field.",,Yes
scptm-ParametersPresence of the field indicates that the UE supports SC-PTM reception as specified in TS 36.306 [5].,,Yes
"scptm-SCellIndicates whether the UE in RRC_CONNECTED supports MBMS reception via SC-MRB on a frequency indicated in an MBMSInterestIndication message, when an SCell is configured on that frequency (regardless of whether the SCell is activated or deactivated).",,Yes
scptm-ParallelReceptionIndicates whether the UE in RRC_CONNECTED supports parallel reception in the same subframe of DL-SCH transport blocks transmitted using C-RNTI/Semi-Persistent Scheduling C-RNTI and using SC-RNTI/G-RNTI as specified in TS 36.306 [5].,,Yes
secondSlotStartingPositionIndicates whether the UE supports reception of subframes with second slot starting position as described in TS 36.211 [21] and TS 36.213 [23]. This field can be included only if downlinkLAA is included.,,-
semiOLIndicates whether the UE supports semi-open-loop transmission for the indicated transmission mode.,,Yes
semiStaticCFIIndicates whether the UE supports the semi-static configuration of CFI for subframe/slot/sub-slot operation.,,Yes
semiStaticCFI-PatternIndicates whether the UE supports the semi-static configuration of CFI pattern for subframe/slot/sub-slot operation. This field is only applicable for UEs supporting TDD.,,-
"sharedSpectrumMeasNR-EN-DCIndicates whether the UE supports performing measurements and reporting of RSSI and channel occupancy on each supported NR band in EN-DC. If included, the UE shall include the same number of entries, and listed in the same order as in supportedBandListEN-DC-r15.",,-
"sharedSpectrumMeasNR-SAIndicates whether the UE supports performing measurements and reporting of RSSI and channel occupancy on each supported NR band in NR SA. If included, the UE shall include the same number of entries, and listed in the same order as in supportedBandListNR-SA-r15.",,-
shortCQI-ForSCellActivationIndicates whether the UE supports additional CQI reporting periodicity after SCell activation.,,Yes
"shortMeasurementGapIndicates whether the UE supports shorter measurement gap length (i.e. gp2 and gp3) in LTE standalone as specified in TS 36.133 [16], and for independent measurement gap configuration on FR1 and per-UE gap in (NG)EN-DC as specified in TS38.133 [84].",,No
shortSPS-IntervalFDDIndicates whether the UE supports uplink SPS intervals shorter than 10 subframes in FDD mode.,,-
shortSPS-IntervalTDDIndicates whether the UE supports uplink SPS intervals shorter than 10 subframes in TDD mode.,,-
sigBasedEUTRA-LoggedMeasOverrideProtectIndicates whether the UE supports the override protection of the signalling based logged measurements configured in E-UTRA when entering RRC_CONNECTED state in NR.,,-
simultaneousPUCCH-PUSCHIndicates whether the UE supports simultaneous transmission of PUSCH/PUCCH and SlotOrSubslotPUSCH/SPUCCH (if supported).,,Yes
simultaneousRx-TxIndicates whether the UE supports simultaneous reception and transmission on different bands for each band combination listed in supportedBandCombination. This field is only applicable for inter-band TDD band combinations. A UE indicating support of simultaneousRx-Tx and dc-Support-r12 shall support different UL/DL configurations between PCell and PSCell.,,-
"simultaneousTx-DifferentTx-DurationIndicates whether the UE supports simultaneous transmission of different transmission durations over different carriers. The different transmission durations can be of subframe, slot or subslot duration.",,-
skipFallbackCombinationsIndicates whether UE supports receiving requestSkipFallbackComb that requests UE to exclude fallback band combinations from capability signalling.,,-
skipFallbackCombRequestedIndicates whether requestSkipFallbackComb is requested by E-UTRAN.,,-
"skipMonitoringDCI-Format0-1AIndicates whether UE supports blind decoding reduction on UE specific search space by not monitoring DCI Format 0 and 1A as specified in TS 36.213 [23], clause 9.1.1.",,No
"skipSubframeProcessingThis fields defines whether the UE supports aborting reception of PDSCH if the UE receives slot-PDSCH/subslot-PDSCH during an ongoing PDSCH reception and instead starts receiving the slot-PDSCH/subslot-PDSCH, as well as whether the UE supports aborting a PUSCH transmission if the UE gets a grant for a slot-PUSCH/ subslot-PUSCH transmission that overlaps with a grant received for a PUSCH transmission. The capability indicates the number of subframes that the UE may drop prior to the subframe in which it prioritizes the processing of slot/subslot PDSCH/PUSCH as described in TS 36.213 [23], clauses 7.1 and 8.0. Separate capability for UL and DL and per sTTI length in each direction: skipProcessingDL-Slot, skipProcessingDL-Subslot, skipProcessingUL-Slot and skipProcessingUL-Subslot.",,-
skipUplinkDynamicIndicates whether the UE supports skipping of UL transmission for an uplink grant indicated on PDCCH if no data is available for transmission as described in TS 36.321 [6].,,-
skipUplinkSPSIndicates whether the UE supports skipping of UL transmission for a configured uplink grant if no data is available for transmission as described in TS 36.321 [6].,,-
sl-64QAM-RxIndicates whether the UE supports 64QAM for the reception of V2X sidelink communication.,,-
sl-64QAM-TxIndicates whether the UE supports 64QAM for the transmission of V2X sidelink communication.,,-
"sl-A2X-ServiceIndicates whether the UE supports A2X service and dedicated resource pool for A2X service. Value 'brid' indicates BRID is supported, value 'daa' indicates DAA is supported, and value 'bridAndDAA' indicates both are supported.",,-
sl-CongestionControlIndicates whether the UE supports Channel Busy Ratio measurement and reporting of Channel Busy Ratio measurement results to eNB for V2X sidelink communication.,,-
sl-LowT2minIndicates whether the UE supports 10ms as minimum value of T2 for resource selection procedure of V2X sidelink communication.,,-
"sl-ParameterNRIncludes the SidelinkParametersNR IE as specified in TS 38.331 [82]. The field includes the sidelink capability for NR-PC5, where multipleSR-ConfigurationsSidelink, logicalChannelSR-DelayTimerSidelink and relayParameters are not applicable.",,-
sl-RateMatchingTBSScalingIndicates whether the UE supports rate matching and TBS scalling for V2X sidelink communication.,,-
slotPDSCH-TxDiv-TM8Indicates whether the UE supports TX diversity transmission using ports 7 and 8 for TM8 for slot PDSCH.,,-
slotPDSCH-TxDiv-TM9and10Indicates whether the UE supports TX diversity transmission using ports 7 and 8 for TM9/10 for slot PDSCH.,,Yes
"slotSymbolResourceResvDL-CE-ModeA, slotSymbolResourceResvDL-CE-ModeB, slotSymbolResourceResvUL-CE-ModeA, slotSymbolResourceResvUL-CE-ModeBIndicates whether the UE supports slot/symbol-level time-domain resource reservation in downlink/uplink when operating in CE mode A/B, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
slss-SupportedTxFreqIndicates whether the UE supports the SLSS transmission on single carrier or on multiple carriers in the case of sidelink carrier aggregation.,,-
slss-TxRxIndicates whether the UE supports SLSS/PSBCH transmission and reception in UE autonomous resource selection mode and eNB scheduled mode in a band for V2X sidelink communication.,,-
sl-TxDiversityIndicates whether the UE supports transmit diversity for V2X sidelink communication. See TS 36.101 [42].,,-
"sn-SizeLoSame as ""shortSN"" defined in TS 38.306 [87].",,No
"spatialBundling-HARQ-ACKIndicates whether UE supports HARQ-ACK spatial bundling on PUCCH or PUSCH as specified in TS 36.213 [23], clauses 7.3.1 and 7.3.2.",,No
spdcch-differentRS-typesIndicates whether the UE supports monitoring of sPDCCH on RB sets with different RS types within a TTI.,,Yes
spdcch-ReuseIndicates whether the UE supports L1 based SPDCCH reuse.,,Yes
sps-CyclicShiftIndicates whether the UE supports RRC configuration of cyclic shift for DMRS for UL SPS using 1ms TTI.,,Yes
sps-ServingCellIndicates whether the UE supports multiple UL/DL SPS configurations simultaneously active on different serving cells as specified in TS 36.321 [6].,,-
"sps-STTIIndicates whether the UE supports SPS in DL and/or UL for slot or subslot based PDSCH and PUSCH, respectively.",,Yes
srs-DCI7-TriggeringFS2Indicates whether the UE supports SRS triggerring via DCI format 7 for FS2.,,-
srs-EnhancementsIndicates whether the UE supports SRS enhancements.,,Yes
srs-EnhancementsTDDIndicates whether the UE supports TDD specific SRS enhancements.,,Yes
"srs-FlexibleTimingIndicates whether the UE supports configuration of soundingRS-FlexibleTiming-r14 for the corresponding band pair. For a TDD-TDD band pair, UE shall include at least one of srs-FlexibleTiming and/or srs-HARQ-ReferenceConfig when rf-RetuningTimeDL or rf-RetuningTimeUL corresponding to the band pair is larger than 1 OFDM symbol.",,-
"srs-HARQ-ReferenceConfigIndicates whether the UE supports configuration of harq-ReferenceConfig-r14 for the corresponding band pair. For a TDD-TDD band pair, UE shall include at least one of srs-FlexibleTiming and/or srs-HARQ-ReferenceConfig when rf-RetuningTimeDL or rf-RetuningTimeUL corresponding to the band pair is larger than 1 OFDM symbol.",,-
"srs-MaxSimultaneousCCsIndicates the maximum number of simultaneously configurable target CCs for SRS switching (i.e., CCs for which srs-SwitchFromServCellIndex is configured) supported by the UE.",,-
srs-UpPTS-6symIndicates whether the UE supports up to 6-symbol SRS in UpPTS.,,-
srvcc-FromUTRA-FDD-ToGERANIndicates whether UE supports SRVCC handover from UTRA FDD PS HS to GERAN CS.,,-
srvcc-FromUTRA-FDD-ToUTRA-FDDIndicates whether UE supports SRVCC handover from UTRA FDD PS HS to UTRA FDD CS.,,-
srvcc-FromUTRA-TDD128-ToGERANIndicates whether UE supports SRVCC handover from UTRA TDD 1.28Mcps PS HS to GERAN CS.,,-
srvcc-FromUTRA-TDD128-ToUTRA-TDD128Indicates whether UE supports SRVCC handover from UTRA TDD 1.28Mcps PS HS to UTRA TDD 1.28Mcps CS.,,-
ss-CCH-InterfHandlIndicates whether the UE supports synchronisation signal and common channel interference handling.,,Yes
"ss-SINR-Meas-NR-FR1, ss-SINR-Meas-NR-FR2Indicates whether the UE can perform NR SS-SINR measurement for a frequency range (i.e. FR1 or FR2) as specified in TS 38.215 [89].",,-
"ssp10-TDD-OnlyIndicates the UE supports special subframe configuration 10 when operating only in TDD carriers (i.e., not in TDD/FDD CA or TDD/FS3 CA). A UE including this field shall not include tdd-SpecialSubframe-r14.",,-
standaloneGNSS-LocationIndicates whether the UE is equipped with a standalone GNSS receiver that may be used to provide detailed location information in RRC measurement report and logged measurements.,,-
"sTTI-SPT-SupportedIndicates whether the UE supports the features STTI and/or SPT. If the UE supports STTI and/or SPT features, the UE shall report the field sTTI-SPT-Supported set to supported in capability signalling, irrespective of whether requestSTTI-SPT-Capability field is present or not.",,-
sTTI-FD-MIMO-CoexistenceIndicates whether the UE supports CSI feedback for more than 8 NZP CSI-RS ports on subframe based PUSCH in any serving cell and supporting STTI in any serving cell.,,-
"sTTI-SupportedCombinationsIndicates the different combinations of short TTI lengths, see field description for dl-STTI-Length and ul-STTI-Length, that the UE supports in a single PUCCH group or in two PUCCH groups. A short TTI length combination is reported for DL first followed by UL. In case of two PUCCH groups the support for the primary PUCCH group is indicated first.",,-
"subcarrierPuncturingCE-ModeA, subcarrierPuncturingCE-ModeBIndicates whether the UE supports subcarrier puncturing in downlink when operating in CE mode A/B, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
"subcarrierSpacingMBMS-khz7dot5, subcarrierSpacingMBMS-khz1dot25Indicates the supported subcarrier spacings for MBSFN subframes in addition to 15 kHz subcarrier spacing. subcarrierSpacingMBMS-khz1dot25 and subcarrierSpacingMBMS-khz7dot5 indicates that the UE supports 1.25 and 7.5 kHz respectively for MBSFN subframes as described in TS 36.211 [21], clause 6.12. This field is included only if fembmsMixedCell or fembmsDedicatedCell is included.",,-
"subcarrierSpacingMBMS-khz2dot5, subcarrierSpacingMBMS-khz0dot37Presence of this field indicates the supported subcarrier spacings of 2.5kHz / 0.37kHz for MBSFN subframes in addition to 15 kHz subcarrier spacing when operating on the E-UTRA band given by the entry in mbms-SupportedBandInfoList as described in TS 36.211 [21], clause 6.12.",,-
"subframeResourceResvDL-CE-ModeA, subframeResourceResvDL-CE-ModeB, subframeResourceResvUL-CE-ModeA, subframeResourceResvUL-CE-ModeBIndicates whether the UE supports Subframe-level time-domain resource reservation in downlink/uplink when operating in CE mode A/B, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
subslotPDSCH-TxDiv-TM9and10Indicates whether the UE supports TX diversity transmission using ports 7 and 8 for TM9/10 for subslot PDSCH.,,Yes
"supportedBandCombinationIncludes the supported CA band combinations, if any, and may include all the supported non-CA bands.",,-
supportedBandCombinationAdd-r11Includes additional supported CA band combinations in case maximum number of CA band combinations of supportedBandCombination is exceeded.,,-
"SupportedBandCombinationAdd-v11d0, SupportedBandCombinationAdd-v1250, SupportedBandCombinationAdd-v1270, SupportedBandCombinationAdd-v1320, SupportedBandCombinationAdd-v1380, SupportedBandCombinationAdd-v1390, SupportedBandCombinationAdd-v1430, SupportedBandCombinationAdd-v1450, SupportedBandCombinationAdd-v1470, SupportedBandCombinationAdd-v14b0, SupportedBandCombinationAdd-v1530, SupportedBandCombinationAdd-v1630, SupportedBandCombinationAdd-v1800If included, the UE shall include the same number of entries, and listed in the same order, as in SupportedBandCombinationAdd-r11.",,-
"SupportedBandCombinationAdd-v1610If included, the UE shall include the same number of entries, and listed in the same order, as in SupportedBandCombinationAdd-r11. If absent, network assumes gap is required when measurement is performed on any NR bands while UE is served by cell(s) belongs to an E-UTRA CA band combinations listed in SupportedBandCombinationAdd-r11 except for the FR2 inter-RAT measurement which depends on the support of independentGapConfig or gaplessMeas-FR2-maxCC.",,-
"SupportedBandCombinationExt, SupportedBandCombination-v1090, SupportedBandCombination-v10i0, SupportedBandCombination-v1130, SupportedBandCombination-v1250, SupportedBandCombination-v1270, SupportedBandCombination-v1320, SupportedBandCombination-v1380, SupportedBandCombination-v1390, SupportedBandCombination-v1430, SupportedBandCombination-v1450, SupportedBandCombination-v1470, SupportedBandCombination-v14b0, SupportedBandCombination-v1530, SupportedBandCombination-v1630, SupportedBandCombination-v1800If included, the UE shall include the same number of entries, and listed in the same order, as in supportedBandCombination-r10.",,-
"SupportedBandCombination-v1610If included, the UE shall include the same number of entries, and listed in the same order, as in supportedBandCombination-r10. If absent, network assumes gap is required when measurement is performed on any NR bands while UE is served by cell(s) belongs to an E-UTRA CA band combinations listed in supportedBandCombination-r10 except for the FR2 inter-RAT measurement which depends on the support of independentGapConfig or gaplessMeas-FR2-maxCC.",,-
"supportedBandCombinationReducedIncludes the supported CA band combinations, and may include the fallback CA combinations specified in TS 36.101 [42], clause 4.3A. This field also indicates whether the UE supports reception of requestReducedFormat.",,-
"SupportedBandCombinationReduced-v1320, SupportedBandCombinationReduced-v1380, SupportedBandCombinationReduced-v1390, SupportedBandCombinationReduced-v1430, SupportedBandCombinationReduced-v1450, SupportedBandCombinationReduced-v1470, SupportedBandCombinationReduced-v14b0, SupportedBandCombinationReduced-v1530, SupportedBandCombinationReduced-v1630, SupportedBandCombinationReduced-v1800If included, the UE shall include the same number of entries, and listed in the same order, as in supportedBandCombinationReduced-r13.",,-
"SupportedBandCombinationReduced-v1610If included, the UE shall include the same number of entries, and listed in the same order, as in supportedBandCombinationReduced-r13. If absent, network assumes gap is required when measurement is performed on any NR bands while UE is served by cell(s) belongs to an E-UTRA CA band combinations listed in supportedBandCombinationReduced-r13 except for the FR2 inter-RAT measurement which depends on the support of independentGapConfig or gaplessMeas-FR2-maxCC.",,-
SupportedBandGERANGERAN band as defined in TS 45.005 [20].,,No
SupportedBandList1XRTTOne entry corresponding to each supported CDMA2000 1xRTT band class.,,-
SupportedBandListEUTRAIncludes the supported E-UTRA bands. This field shall include all bands which are indicated in BandCombinationParameters.,,-
"SupportedBandListEUTRA-v9e0, SupportedBandListEUTRA-v1250, SupportedBandListEUTRA-v1310, SupportedBandListEUTRA-v1320If included, the UE shall include the same number of entries, and listed in the same order, as in supportedBandListEUTRA (i.e. without suffix).",,-
SupportedBandListGERAN,,No
SupportedBandListHRPDOne entry corresponding to each supported CDMA2000 HRPD band class.,,-
SupportedBandListNR-SAIncludes the NR bands supported by the UE in NR-SA (for handover and redirection). The field is included in case the UE supports NR SA as specified in TS 38.331 [32] and not otherwise. The presence of this field also indicates that the UE can perform both NR SS-RSRP and SS-RSRQ measurement in the included NR band(s) as specified in TS 38.215 [89].,,No
supportedBandListEN-DCIncludes the NR bands supported by the UE in (NG)EN-DC. The field is included in case the parameter en-DC or ng-EN-DC is present and set to supported and not otherwise. The presence of this field also indicates that the UE can perform both NR SS-RSRP and SS-RSRQ measurement in the included NR band(s) as specified in TS 38.215 [89].,,-
"supportedBandListNBIndicates the supported NB-IoT NTN bands, as specified in TS 36.102 [113], by the UE.",,-
supportedBandListWLANIndicates the supported WLAN bands by the UE.,,-
SupportedBandUTRA-FDDUTRA band as defined in TS 25.101 [17].,,-
SupportedBandUTRA-TDD128UTRA band as defined in TS 25.102 [18].,,-
SupportedBandUTRA-TDD384UTRA band as defined in TS 25.102 [18].,,-
SupportedBandUTRA-TDD768UTRA band as defined in TS 25.102 [18].,,-
"supportedBandwidthCombinationSetThe supportedBandwidthCombinationSet indicated for a band combination is applicable to all bandwidth classes indicated by the UE in this band combination.Field encoded as a bit map, where bit N is set to ""1"" if UE support Bandwidth Combination Set N for this band combination, see 36.101 [42]. The leading / leftmost bit (bit 0) corresponds to the Bandwidth Combination Set 0, the next bit corresponds to the Bandwidth Combination Set 1 and so on. The UE shall neither include the field for a non-CA band combination, nor for a CA band combination for which the UE only supports Bandwidth Combination Set 0.",,-
"supportedCellGroupingThis field indicates for which mapping of serving cells to cell groups (i.e. MCG or SCG) the UE supports asynchronous DC. This field is only present for a band combination with more than two but less than six band entries where the UE supports asynchronous DC. If this field is not present but asynchronous operation is supported, the UE supports all possible mappings of serving cells to cell groups for the band combination. The bitmap size is selected based on the number of entries in the combinations, i.e., in case of three entries, the bitmap corresponding to threeEntries is selected and so on.A bit in the bit string set to 1 indicates that the UE supports asynchronous DC for the cell grouping option represented by the concerned bit position. Each bit position represents a different cell grouping option, as illustrated by a table, see NOTE 5. A cell grouping option is represented by a number of bits, each representing a particular band entry in the band combination with the left-most bit referring to the band listed first in the band combination, etc. Value 0 indicates that the carriers of the corresponding band entry are mapped to a first cell group, while value 1 indicates that the carriers of the corresponding band entry are mapped to a second cell group.It is noted that the mapping table does not include entries with all bits set to the same value (0 or 1) as this does not represent a DC scenario (i.e. indicating that the UE supports that all carriers of the corresponding band entry are in one cell group).",,-
"supportedCSI-Proc, sTTI-SupportedCSI-ProcIndicates the maximum number of CSI processes supported on a component carrier within a band. Value n1 corresponds to 1 CSI process, value n3 corresponds to 3 CSI processes, and value n4 corresponds to 4 CSI processes. If this field is included, the UE shall include the same number of entries listed in the same order as in BandParameters/STTI-SPT-BandParameters. If the UE supports at least 1 CSI process on any component carrier, then the UE shall include this field in all bands in all band combinations.",,-
"supportedCSI-Proc (in FeatureSetDL-PerCC)In MR-DC, indicates the number of CSI processes for the component carrier in the corresponding bandwidth class. If the UE supports at least 1 CSI process, then the UE shall include this field.",,-
