E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 4),E-UTRA Bands,1.4MHz,3MHz,,5MHz,,10MHz,,15MHz,,,,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
,,48,See CA_48E Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-71A,-,4,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,71,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_4A-4A-71A,-,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,71,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5A-7A,CA_5A-7A,5,Yes,Yes,,Yes,,Yes,,,,,,,30,0
,,7,,,,,,Yes,,Yes,,,,Yes,,
,,5,,,,Yes,,Yes,,,,,,,30,1
,,7,,,,,,Yes,,Yes,,,,Yes,,
CA_5A-7A-7A,CA_5A-7A,5,,,,Yes,,Yes,,,,,,,50,0
,,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-7C,-,5,,,,Yes,,Yes,,,,,,,50,0
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-12A,CA_5A-12A,5,,,,Yes,,Yes,,,,,,,20,0
,,12,,,,Yes,,Yes,,,,,,,,
CA_5A-12A-12A,-,5,,,,Yes,,Yes,,,,,,,20,0
,,12,See CA_12A-12A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-12B,-,5,,,,Yes,,Yes,,,,,,,25,0
,,12,See CA_12B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-13A,-,5,,,,Yes,,Yes,,,,,,,20,0
,,13,,,,,,Yes,,,,,,,,
CA_5A-17A,CA_5A-17A,5,,,,Yes,,Yes,,,,,,,20,0
,,17,,,,Yes,,Yes,,,,,,,,
CA_5A-25A,-,5,,,,Yes,,Yes,,,,,,,30,0
,,25,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5A-28A,-,5,,,,Yes,,Yes,,,,,,,30,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5A-29A,-,5,,,,Yes,,Yes,,,,,,,20,0
,,29,,,,Yes,,Yes,,,,,,,,
CA_5A-30A,CA_5A-30A,5,,,,Yes,,Yes,,,,,,,20,0
,,30,,,,Yes,,Yes,,,,,,,,
CA_5B-30A,-,5,See CA_5B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,30,0
,,30,,,,Yes,,Yes,,,,,,,,
CA_5A-38A,-,5,,,,Yes,,Yes,,,,,,,30,0
,,38,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5A-40A,CA_5A-40A,5,,,,Yes,,Yes,,,,,,,30,0
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
,,5,,Yes,,Yes,,Yes,,,,,,,30,1
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5A-5A-40A,-,5,See CA_5A-5A Bandwidth Combination Set 0 in table 6.140.2-2,,,,,,,,,,,,40,0
,,40,,,,,,Yes,,,,,,Yes,,
CA_5A-40A-40A,-,5,,,,Yes,,Yes,,,,,,,50,0
,,40,See CA_40A-40A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-40C,-,5,,,,Yes,,Yes,,,,,,,50,0
,,40,See CA_40C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
,,5,,Yes,,Yes,,Yes,,,,,,,50,1
,,40,See CA_40C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-41A,-,5,,,,Yes,,Yes,,,,,,,30,0
,,41,,,,,,,,,,,,Yes,,
CA_5A-46A,-,5,,,,Yes,,Yes,,,,,,,30,0
,,46,,,,,,,,,,,,Yes,,
,,5,,Yes,,Yes,,Yes,,,,,,,30,1
,,46,,,,,,Yes,,,,,,Yes,,
CA_5A-46C,-,5,,,,Yes,,Yes,,,,,,,50,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,-,5,,,,Yes,,Yes,,,,,,,50,1
,,46,See CA_46C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-46D,-,5,,,,Yes,,Yes,,,,,,,70,0
,,46,See CA_46D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,,5,,,,Yes,,Yes,,,,,,,70,1
,,46,See CA_46D Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-46E,-,5,,,,Yes,,Yes,,,,,,,90,0
,,46,See CA_46E of Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,,5,,,,Yes,,Yes,,,,,,,90,1
,,46,See CA_46E of Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5B-46A,-,5,See CA_5B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,40,0
,,46,,,,,,,,,,,,Yes,,
CA_5B-46C,-,5,See CA_5B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,46,See CA_46C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5B-46D,-,5,See CA_5B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,46,See CA_46D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5B-46E,-,5,See CA_5B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,100,0
,,46,See CA_46E Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-48A,CA_5A-48A,5,,,,Yes,,Yes,,,,,,,30,0
,,48,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5A-48C,CA_5A-48A,5,,,,Yes,,Yes,,,,,,,50,0
,,48,See CA_48C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-48D,-,5,,,,Yes,,Yes,,,,,,,70,0
,,48,See CA_48D Bandwidth combination set 0 in the Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-66A,CA_5A-66A,5,,,,Yes,,Yes,,,,,,,30,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5A-5A-66A,CA_5A-66A,5,See CA_5A-5A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,40,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5A-5A-66A-66A,CA_5A-66A,5,See CA_5A-5A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,66,See CA_66A-66A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-5A-66A-66B,CA_5A-66A CA_66B,5,See CA_5A-5A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,66,See CA_66A-66B Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-5A-66A-66C,CA_5A-66A,5,See CA_5A-5A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,66,See CA_66A-66C Bandwidth Combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-5A-66B,CA_5A-66A CA_66B,5,See CA_5A-5A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,40,0
,,66,See CA_66B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-5A-66C,CA_5A-66A,5,See CA_5A-5A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,66,See CA_66C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-5A-66D,CA_5A-66A,5,See CA_5A-5A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,66,See CA_66D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-66A-66A,CA_5A-66A,5,,,,Yes,,Yes,,,,,,,50,0
,,66,See CA_66A-66A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-66A-66C,CA_5A-66A,5,,,,Yes,,Yes,,,,,,,70,0
,,66,See CA_66A-66C Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-66B,CA_66BCA_5A-66A,5,,,,Yes,,Yes,,,,,,,30,0
,,66,See CA_66B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-66C,CA_5A-66A,5,,,,Yes,,Yes,,,,,,,50,0
,,66,See CA_66C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5A-66D,,5,,,,Yes,,Yes,,,,,,,70,0
,,66,See CA_66D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5B-66A,CA_5BCA_5A-66A,5,See CA_5B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,40,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_5B-66A-66A,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5A-66A-66B,CA_66B,5,,,,Yes,,Yes,,,,,,,50,0
,,66,See CA_66A-66B Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5B-66A-66B,-,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,66,See CA_66A-66B Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5B-66A-66C,-,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,66,See CA_66A-66C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_5B-66B,CA_5BCA_66BCA_5A-66A,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,40,0
,,66,See CA_66B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_5B-66C,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,66,See CA_66C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-8A,CA_7A-8A,7,,,,,,Yes,,Yes,,,,Yes,30,0
,,8,,Yes,,Yes,,Yes,,,,,,,,
,,7,,,,,,Yes,,Yes,,,,Yes,30,1
,,8,,,,Yes,,Yes,,,,,,,,
,,7,,,,Yes,,Yes,,Yes,,,,Yes,30,2
,,8,,,,Yes,,Yes,,,,,,,,
CA_7A-7A-8A,CA_7A-8A,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,8,,,,Yes,,Yes,,,,,,,,
,,7,See CA_7A-7A Bandwidth Combination Set 2 in Table 5.6A.1-3,,,,,,,,,,,,40,1
,,8,,,,Yes,,Yes,,,,,,,,
CA_7A-8B,CA_7A-8ACA_7A-8BCA_8B,7,,,,,,Yes,,Yes,,,,Yes,40,0
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7A-7A-8B,CA_7A-8ACA_7A-8BCA_8B,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,8,ee CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-12A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,12,,,,Yes,,Yes,,,,,,,,
CA_7A-12B,-,7,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,12,See CA_12B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-13A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,13,,,,Yes,,Yes,,,,,,,,
CA_7C-13A,-,7,See CA_7C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,,,,,,50,0
,,13,,,,Yes,,Yes,,,,,,,,
CA_7A-7A-13A,-,7,See CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,13,,,,Yes,,Yes,,,,,,,,
CA_7A-20A,CA_7A-20A,7,,,,,,Yes,,Yes,,,,Yes,30,0
,,20,,,,Yes,,Yes,,,,,,,,
,,7,,,,,,Yes,,Yes,,,,Yes,40,1
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
,,7,,,,Yes,,Yes,,Yes,,,,Yes,40,2
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7C-20A,CA_7CCA_7A-20A,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-7A-20A,CA_7A-20A,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-22A,-,7,,,,,,Yes,,Yes,,,,Yes,40,0
,,22,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-25A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,25,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-7A-25A,-,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,25,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,
CA_7C-25A,-,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,25,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-25A-25A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,25,See CA_25A-25A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7A-7A-25A-25A,-,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,25,See CA_25A-25A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7C-25A-25A,-,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,25,See CA_25A-25A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7A-26A,CA_7A-26A,7,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,26,,,,Yes,,Yes,,Yes,,,,,,
CA_7A-7A-26A,CA_7A-26A,7,See CA_7A-7A bandwidth combination set 3 in table 5.6A.1-3,,,,,,,,,,,,55,0
,,26,,,,Yes,,Yes,,Yes,,,,,,
CA_7C-26A,CA_7A-26ACA_7C,7,See CA_7C bandwidth combination set 2 in table 5.6A.1-1,,,,,,,,,,,,55,0
,,26,,,,Yes,,Yes,,Yes,,,,,,
CA_7A-28A,CA_7A-28A,7,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,28,,,,Yes,,Yes,,Yes,,,,,,
,,7,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-7A-28A,-,7,See CA_7A-7A Bandwidth combination set 3 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,28,,,,,,Yes,,Yes,,,,Yes,,
CA_7B-28A,-,7,See CA_7B bandwidth combination set 0 in table 5.6A.1-1,,,,,,,,,,,,40,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7C-28A,CA_7A-28ACA_7C,7,See CA_7C bandwidth combination set 2 in table 5.6A.1-1,,,,,,,,,,,,60,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,60,1
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-29A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,29,,,,Yes,,Yes,,,,,,,,
CA_7A-7A-29A,-,7,See CA_7A-7A Bandwidth combination set 1 in table 5.6A.1-3 of 36.101,,,,,,,,,,,,50,0
,,29,,,,Yes,,Yes,,,,,,,,
CA_7C-29A,-,7,See CA_7C Bandwidth combination set 2 in table 5.6A.1-1 of 36.101,,,,,,,,,,,,50,0
,,29,,,,Yes,,Yes,,,,,,,,
CA_7A-30A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,30,,,,Yes,,Yes,,,,,,,,
CA_7A-32A,-,7,,,,,,Yes,,Yes,,,,Yes,40,0
,,32,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7C-32A,CA_7C,7,See CA_7C Bandwidth combination set 1 in table 5.6A.1-1 of 36.101,,,,,,,,,,,,60,0
,,32,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-40A,CA_7A-40A,7,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-40A-40A,CA_7A-40A,7,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,40,See CA_40A-40A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7A-40C,CA_7A-40A,7,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,40,See CA_40C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-40D,CA_7A-40A,7,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,40,See CA_40D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-40E,-,7,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,40,See CA_40E Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-42A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,42,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-42A-42A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,42,See CA_42A-42A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7A-46A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,46,,,,,,,,,,,,Yes,,
,,7,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,46,,,,,,Yes,,,,,,Yes,,
CA_7A-7A-46C,-,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,46,See CA_46C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-46C,-,7,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,-,7,,,,Yes,,Yes,,Yes,,,,Yes,60,1
,,46,See CA_46C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-46D,-,7,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,46,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,,7,,,,Yes,,Yes,,Yes,,,,Yes,80,1
,,46,See CA_46D Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-46E,-,7,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,46,See CA_46E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-7A-46E,-,7,See CA_7A-7A Bandwidth combination set 1 in table 5.6A.1-3 of 36.101,,,,,,,,,,,,120,0
,,46,See CA_46E Bandwidth combination set 0 in table 5.6A.1-3 of 36.101,,,,,,,,,,,,,
CA_7C-46C,-,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7C-46D,-,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,,,,,,100,0
,,46,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7C-46E,-,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,,,,,,120,0
,,46,See CA_46E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-7A-46A,-,7,See CA_7A-7A Bandwidth Combination Set 1 in table 5.6A.1-3,,,,,,,,,,,,60,0
,,46,,,,,,,,,,,,Yes,,
CA_7A-7A-46D,-,7,See CA_7A-7A Bandwidth Combination Set 1 in table 5.6A.1-3,,,,,,,,,,,,100,0
,,46,See CA_46D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_7A-66A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-7A-66A-66A,-,7,See CA_7A-7A Bandwidth combination set 1 in table 5.6A.1-3,,,,,,,,,,,,80,0
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7C-66A,-,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7C-46A,-,7,See CA_7C Bandwidth Combination set 2 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,46,,,,,,,,,,,,Yes,,
CA_7A-7A-66A,-,7,See CA_7A-7A Bandwidth combination set 1 in table 5.6A.1-3,,,,,,,,,,,,60,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_7A-66A-66A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7C-66A-66A,-,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_7A-68A,CA_7A-68A,7,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,68,,,,Yes,,Yes,,Yes,,,,,,
CA_7A-71A,-,7,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,71,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8A-11A,-,8,,,,Yes,,Yes,,,,,,,20,0
,,11,,,,Yes,,Yes,,,,,,,,
CA_8B-11A,-,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,30,0
,,11,,,,Yes,,Yes,,,,,,,,
CA_8A-20A,CA_8A-20A,8,,,,Yes,,Yes,,,,,,,20,0
,,20,,,,Yes,,Yes,,,,,,,,
,,8,,Yes,,Yes,,Yes,,,,,,,20,1
,,20,,,,Yes,,Yes,,,,,,,,
,,8,,,,Yes,,Yes,,,,,,,30,2
,,20,,,,,,Yes,,Yes,,,,Yes,,
CA_8A-27A,-,8,,,,Yes,,Yes,,,,,,,20,0
,,27,,,,Yes,,Yes,,,,,,,,
CA_8A-28A,CA_8A-28A,8,,Yes,,Yes,,Yes,,,,,,,30,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8A-28C,-,8,,Yes,,Yes,,Yes,,,,,,,40,0
,,28,See CA_28C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-32A,-,8,,Yes,,Yes,,Yes,,,,,,,30,0
,,32,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8A-38A,-,8,,,,Yes,,Yes,,,,,,,30,0
,,38,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8A-39A,CA_8A-39A,8,Yes,Yes,,Yes,,Yes,,,,,,,30,0
,,39,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8A-39C,-,8,Yes,Yes,,Yes,,Yes,,,,,,,45,0
,,39,See CA_39C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_8B-39A,-,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,40,0
,,39,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8B-39C,-,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,55,0
,,39,See CA_39C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-40A,-,8,,,,Yes,,Yes,,,,,,,30,0
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
,-,8,,Yes,,Yes,,Yes,,,,,,,30,1
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8A-40C,-,8,,,,Yes,,Yes,,,,,,,50,0
,,40,See CA_40C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-41A,CA_8A-41A,8,Yes,Yes,,Yes,,Yes,,,,,,,30,0
,,41,,,,,,Yes,,,,,,Yes,,
,,8,,,,Yes,,Yes,,,,,,,30,1
,,41,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8A-41A-41A,CA_8A-41A,8,,,,Yes,,Yes,,,,,,,50,0
,,41,See CA_41A-41A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_8A-41C,-,8,Yes,Yes,,Yes,,Yes,,,,,,,50,0
,,41,See CA_41C bandwidth combination set 3 in table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-41D,-,8,Yes,Yes,,Yes,,Yes,,,,,,,70,0
,,41,See CA_41D bandwidth combination set 0 in table 5.6A.1-1,,,,,,,,,,,,,
CA_8B-41A,-,8,See CA_8B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,40,0
,,41,,,,,,,,,,,,Yes,,
CA_8B-41C,-,8,See CA_8B bandwidth combination set 0 in table 5.6A.1-1,,,,,,,,,,,,60,0
,,41,See CA_41C bandwidth combination set 3 in table 5.6A.1-1,,,,,,,,,,,,,
CA_8B-41D,-,8,See CA_8B bandwidth combination set 0 in table 5.6A.1-1,,,,,,,,,,,,80,0
,,41,See CA_41D bandwidth combination set 0 in table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-42A,-,8,Yes,Yes,,Yes,,Yes,,,,,,,30,0
,,42,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_8A-42C,-,8,Yes,Yes,,Yes,,Yes,,,,,,,50,0
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-46A,-,8,Yes,Yes,,Yes,,Yes,,,,,,,30,0
,,46,,,,,,,,,,,,Yes,,
CA_8A-46C,-,8,Yes,Yes,,Yes,,Yes,,,,,,,50,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-46D,-,8,Yes,Yes,,Yes,,Yes,,,,,,,70,0
,,46,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-46E,-,8,Yes,Yes,,Yes,,Yes,,,,,,,90,0
,,46,See CA_46E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_8A-48A,-,8,Yes,Yes,,Yes,,Yes,,,,,,,30,0
,,48,,,,Yes,,Yes,,Yes,,,,Yes,,
