NR CA configuration,Uplink configuration,,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n2A-n66A-n261M,CA_n2A-n66ACA_n2A-n261A/G/H/ICA_n66A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261M,
CA_n2A-n66A-n261(2G),CA_n2A-n66ACA_n2A-n261A/GCA_n66A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(2G),
CA_n2A-n66A-n261(G-H),CA_n2A-n66ACA_n2A-n261A/G/HCA_n66A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(G-H),
CA_n2A-n66A-n261(A-G-H),CA_n2A-n66ACA_n2A-n261A/G/HCA_n66A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(A-G-H),
CA_n2A-n66A-n261(G-I),CA_n2A-n66ACA_n2A-n261A/G/H/ICA_n66A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(G-I),
CA_n2A-n66A-n261(2H),CA_n2A-n66ACA_n2A-n261A/G/HCA_n66A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(2H),
CA_n2A-n66A-n261(A-G-I),CA_n2A-n66ACA_n2A-n261A/G/H/ICA_n66A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(A-G-I),
CA_n2A-n66A-n261(H-I),CA_n2A-n66ACA_n2A-n261A/G/H/ICA_n66A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(H-I),
CA_n2A-n66A-n261(2A-G),CA_n2A-n66ACA_n2A-n261A/GCA_n66A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(2A-G),
CA_n2A-n66A-n261(2A-H),CA_n2A-n66ACA_n2A-n261A/G/HCA_n66A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(2A-H),
CA_n2A-n66A-n261(2A-I),CA_n2A-n66ACA_n2A-n261A/G/H/ICA_n66A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(2A-I),
CA_n2A-n66A-n261(2A),CA_n2A-n66ACA_n2A-n261ACA_n66A-n261A,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(2A),
CA_n2A-n66A-n261(3A),CA_n2A-n66ACA_n2A-n261ACA_n66A-n261A,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(3A),
CA_n2A-n66A-n261(A-2G),CA_n2A-n66ACA_n2A-n261A/GCA_n66A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(A-2G),
CA_n2A-n66A-n261(A-G),CA_n2A-n66ACA_n2A-n261A/GCA_n66A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(A-G),
CA_n2A-n66A-n261(A-H),CA_n2A-n66ACA_n2A-n261A/G/HCA_n66A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(A-H),
CA_n2A-n66A-n261(A-I),CA_n2A-n66ACA_n2A-n261A/G/H/ICA_n66A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n261,CA_n261(A-I),
CA_n2A-n77A-n260A,CA_n2A-n77ACA_n77A-n260ACA_n2A-n260A,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n260,"50, 100, 200, 400",
CA_n2A-n77A-n260G,CA_n2A-n77ACA_n2A-n260A/GCA_n77A-n260A/G,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n260,CA_n260G,
CA_n2A-n77A-n260H,CA_n2A-n77ACA_n2A-n260A/G/HCA_n77A-n260A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n260,CA_n260H,
CA_n2A-n77A-n260I,CA_n2A-n77ACA_n2A-n260A/G/H/ICA_n77A-n260A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n260,CA_n260I,
CA_n2A-n77A-n260J,CA_n2A-n77ACA_n2A-n260A/G/H/I/JCA_n77A-n260A/G/H/I/J,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n260,CA_n260J,
CA_n2A-n77A-n260K,CA_n2A-n77ACA_n2A-n260A/G/H/I/J/KCA_n77A-n260A/G/H/I/J/K,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n260,CA_n260K,
CA_n2A-n77A-n260L,CA_n2A-n77ACA_n2A-n260A/G/H/I/J/K/LCA_n77A-n260A/G/H/I/J/K/L,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n260,CA_n260L,
CA_n2A-n77A-n260M,CA_n2A-n77ACA_n2A-n260A/G/H/I/J/K/L/MCA_n77A-n260A/G/H/I/J/K/L/M,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n260,CA_n260M,
CA_n2A-n77C-n260A,CA_n2A-n260ACA_n77A-n260A,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n260,CA_n260A,
CA_n2A-n77C-n260G,CA_n2A-n260A/GCA_n77A-n260A/G,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n260,CA_n260G,
CA_n2A-n77C-n260H,CA_n2A-n260A/G/HCA_n77A-n260A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n260,CA_n260H,
CA_n2A-n77C-n260I,CA_n2A-n260A/G/H/ICA_n77A-n260A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n260,CA_n260I,
CA_n2A-n77C-n260J,CA_n2A-n260A/G/H/ICA_n77A-n260A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n260,CA_n260J,
CA_n2A-n77C-n260K,CA_n2A-n260A/G/H/ICA_n77A-n260A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n260,CA_n260K,
CA_n2A-n77C-n260L,CA_n2A-n260A/G/H/ICA_n77A-n260A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n260,CA_n260L,
CA_n2A-n77C-n260M,CA_n2A-n260A/G/H/ICA_n77A-n260A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n260,CA_n260M,
CA_n2A-n77A-n261A,CA_n77A-n261ACA_n2A-n261A,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,"50, 100, 200, 400",
CA_n2A-n77A-n261G,CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261G,
CA_n2A-n77A-n261H,CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261H,
CA_n2A-n77A-n261I,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261I,
CA_n2A-n77A-n261J,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261J,
CA_n2A-n77A-n261K,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261K,
CA_n2A-n77A-n261L,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261L,
CA_n2A-n77A-n261M,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261M,
CA_n2A-n77A-n261(A-G),CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(A-G),
CA_n2A-n77A-n261(A-H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(A-H),
CA_n2A-n77A-n261(G-H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(G-H),
CA_n2A-n77A-n261(2A-G),CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(2A-G),
CA_n2A-n77A-n261(2A-H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(2A-H),
CA_n2A-n77A-n261(A-2G),CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(A-2G),
CA_n2A-n77A-n261(A-G-H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(A-G-H),
CA_n2A-n77A-n261(A-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(A-I),
CA_n2A-n77A-n261(G-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(G-I),
CA_n2A-n77A-n261(2A),CA_n2A-n261ACA_n77A-n261A,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(2A),
CA_n2A-n77A-n261(3A),CA_n2A-n261ACA_n77A-n261A,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(3A),
CA_n2A-n77A-n261(2G),CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(2G),
CA_n2A-n77A-n261(2H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(2H),
CA_n2A-n77A-n261(2A-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(2A-I),
CA_n2A-n77A-n261(A-G-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(A-G-I),
CA_n2A-n77A-n261(H-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,,n261,CA_n261(H-I),
CA_n2A-n77C-n261A,CA_n2A-n261ACA_n77A-n261A,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261A,
CA_n2A-n77C-n261G,CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261G,
CA_n2A-n77C-n261H,CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261H,
CA_n2A-n77C-n261I,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261I,
CA_n2A-n77C-n261J,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261J,
CA_n2A-n77C-n261K,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261K,
CA_n2A-n77C-n261L,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261L,
CA_n2A-n77C-n261M,CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261M,
CA_n2A-n77C-n261(A-G),CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(A-G),
CA_n2A-n77C-n261(A-H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(A-H),
CA_n2A-n77C-n261(G-H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(G-H),
CA_n2A-n77C-n261(2A-G),CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(2A-G),
CA_n2A-n77C-n261(2A-H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(2A-H),
CA_n2A-n77C-n261(A-2G),CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(A-2G),
CA_n2A-n77C-n261(A-G-H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(A-G-H),
CA_n2A-n77C-n261(A-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(A-I),
CA_n2A-n77C-n261(G-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(G-I),
CA_n2A-n77C-n261(2A),CA_n2A-n261ACA_n77A-n261A,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(2A),
CA_n2A-n77C-n261(3A),CA_n2A-n261ACA_n77A-n261A,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(3A),
CA_n2A-n77C-n261(2G),CA_n2A-n261A/GCA_n77A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(2G),
CA_n2A-n77C-n261(2H),CA_n2A-n261A/G/HCA_n77A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(2H),
CA_n2A-n77C-n261(H-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(H-I),
CA_n2A-n77C-n261(2A-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(2A-I),
CA_n2A-n77C-n261(A-G-I),CA_n2A-n261A/G/H/ICA_n77A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n77,CA_n77C_BCS1,
,,,n261,CA_n261(A-G-I),
CA_n3A-n7A-n257A,-,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,"50, 100, 200, 400",
CA_n3A-n7A-n257G,-,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257G,
CA_n3A-n7A-n257H,-,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257H,
CA_n3A-n7A-n257I,-,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257I,
CA_n3A-n7A-n257J,-,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257J,
CA_n3A-n7A-n257K,-,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257K,
CA_n3A-n7A-n257L,-,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257L,
CA_n3A-n7A-n257M,-,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257M,
CA_n3B-n7A-n257A,-,,n3,CA_n3B_BCS0,0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,"50, 100, 200, 400",
CA_n3B-n7A-n257G,-,,n3,CA_n3B_BCS0,0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257G,
CA_n3B-n7A-n257H,-,,n3,CA_n3B_BCS0,0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257H,
CA_n3B-n7A-n257I,-,,n3,CA_n3B_BCS0,0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257I,
CA_n3B-n7A-n257J,-,,n3,CA_n3B_BCS0,0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257J,
CA_n3B-n7A-n257K,-,,n3,CA_n3B_BCS0,0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257K,
CA_n3B-n7A-n257L,-,,n3,CA_n3B_BCS0,0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257L,
CA_n3B-n7A-n257M,-,,n3,CA_n3B_BCS0,0
,,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,,n257,CA_n257M,
CA_n3(2A)-n7A-n257A,-,n3,,CA_n3(2A)_BCS1,0
,,n7,,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n257,,"50, 100, 200, 400",
CA_n3(2A)-n7A-n257G,-,n3,,CA_n3(2A)_BCS1,0
,,n7,,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n257,,CA_n257G,
CA_n3(2A)-n7A-n257H,-,n3,,CA_n3(2A)_BCS1,0
,,n7,,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n257,,CA_n257H,
CA_n3(2A)-n7A-n257I,-,n3,,CA_n3(2A)_BCS1,0
,,n7,,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n257,,CA_n257I,
CA_n3(2A)-n7A-n257J,-,n3,,CA_n3(2A)_BCS1,0
,,n7,,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n257,,CA_n257J,
CA_n3(2A)-n7A-n257K,-,n3,,CA_n3(2A)_BCS1,0
,,n7,,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n257,,CA_n257K,
CA_n3(2A)-n7A-n257L,-,n3,,CA_n3(2A)_BCS1,0
,,n7,,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n257,,CA_n257L,
CA_n3(2A)-n7A-n257M,-,n3,,CA_n3(2A)_BCS1,0
,,n7,,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n257,,CA_n257M,
CA_n3A-n7A-n258A,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,"50, 100, 200, 400",
CA_n3A-n7A-n258B,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258B,
CA_n3A-n7A-n258C,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258C,
CA_n3A-n7A-n258D,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258D,
CA_n3A-n7A-n258E,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258E,
CA_n3A-n7A-n258F,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258F,
CA_n3A-n7A-n258G,CA_n3A-n258A/GCA_n7A-n258A/GCA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258G,
CA_n3A-n7A-n258H,CA_n3A-n258A/G/HCA_n7A-n258A/G/HCA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258H,
CA_n3A-n7A-n258I,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258I,
CA_n3A-n7A-n258J,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258J,
CA_n3A-n7A-n258K,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258K,
CA_n3A-n7A-n258L,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258L,
CA_n3A-n7A-n258M,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n3A-n7A,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,,n258,CA_n258M,
CA_n3A-n7B-n258A,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7ACA_n7B,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,CA_n7B,
,,,n258,"50, 100, 200, 400",
CA_n3A-n7B-n258B,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7ACA_n7B,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,CA_n7B,
,,,n258,CA_n258B,
CA_n3A-n7B-n258C,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7ACA_n7B,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,CA_n7B,
,,,n258,CA_n258C,
CA_n3A-n7B-n258D,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7ACA_n7B,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,CA_n7B,
,,,n258,CA_n258D,
CA_n3A-n7B-n258E,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7ACA_n7B,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,CA_n7B,
,,,n258,CA_n258E,
CA_n3A-n7B-n258F,CA_n3A-n258ACA_n7A-n258ACA_n3A-n7ACA_n7B,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,CA_n7B,
,,,n258,CA_n258F,
CA_n3A-n7B-n258G,CA_n3A-n258A/GCA_n7A-n258A/GCA_n3A-n7ACA_n7B,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n7,CA_n7B,
,,,n258,CA_n258G,
CA_n3A-n7B-n258H,CA_n3A-n258A/G/HCA_n7A-n258A/G/HCA_n3A-n7ACA_n7B,,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
