NR CA configuration,Uplink configuration,,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n48A-n66A-n261(A-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-I),
CA_n48A-n66A-n261(G-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(G-H),
CA_n48A-n66A-n261(2A-G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-G),
CA_n48A-n66A-n261(2A-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-H),
CA_n48A-n66A-n261(A-2G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-2G),
CA_n48A-n66A-n261(A-G-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G-H),
CA_n48A-n66A-n261(2G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2G),
CA_n48A-n66A-n261(2H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2H),
CA_n48A-n66A-n261(2A-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-I),
CA_n48A-n66A-n261(A-G-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G-I),
CA_n48A-n66A-n261(G-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(G-I),
CA_n48A-n66A-n261(H-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(H-I),
CA_n48B-n66A-n261A,CA_n48A-n261ACA_n66A-n261A,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,"50, 100, 200, 400",
CA_n48B-n66A-n261G,CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261G,
CA_n48B-n66A-n261H,CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261H,
CA_n48B-n66A-n261I,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261I,
CA_n48B-n66A-n261J,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261J,
CA_n48B-n66A-n261K,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261K,
CA_n48B-n66A-n261L,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261L,
CA_n48B-n66A-n261M,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261M,
CA_n48B-n66A-n261(A-G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G),
CA_n48B-n66A-n261(A-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-H),
CA_n48B-n66A-n261(A-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-I),
CA_n48B-n66A-n261(G-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(G-H),
CA_n48B-n66A-n261(2A-G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-G),
CA_n48B-n66A-n261(2A-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-H),
CA_n48B-n66A-n261(A-2G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-2G),
CA_n48B-n66A-n261(A-G-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G-H),
CA_n48B-n66A-n261(2A),CA_n48A-n261ACA_n66A-n261A,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A),
CA_n48B-n66A-n261(3A),CA_n48A-n261ACA_n66A-n261A,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(3A),
CA_n48B-n66A-n261(2G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2G),
CA_n48B-n66A-n261(2H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2H),
CA_n48B-n66A-n261(G-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(G-I),
CA_n48B-n66A-n261(H-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(H-I),
CA_n48B-n66A-n261(2A-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-I),
CA_n48B-n66A-n261(A-G-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G-I),
CA_n48(2A)-n66A-n261A,CA_n48A-n261ACA_n66A-n261A,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,"50, 100, 200, 400",
CA_n48(2A)-n66A-n261G,CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261G,
CA_n48(2A)-n66A-n261H,CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261H,
CA_n48(2A)-n66A-n261I,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261I,
CA_n48(2A)-n66A-n261J,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261J,
CA_n48(2A)-n66A-n261K,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261K,
CA_n48(2A)-n66A-n261L,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261L,
CA_n48(2A)-n66A-n261M,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261M,
CA_n48(2A)-n66A-n261(A-G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G),
CA_n48(2A)-n66A-n261(A-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-H),
CA_n48(2A)-n66A-n261(A-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-I),
CA_n48(2A)-n66A-n261(G-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(G-H),
CA_n48(2A)-n66A-n261(2A-G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-G),
CA_n48(2A)-n66A-n261(2A-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-H),
CA_n48(2A)-n66A-n261(A-2G),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-2G),
CA_n48(2A)-n66A-n261(A-G-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G-H),
CA_n48(2A)-n66A-n261(2A),CA_n48A-n261ACA_n66A-n261A,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A),
CA_n48(2A)-n66A-n261(3A),CA_n48A-n261ACA_n66A-n261A,n48,,CA_n48(2A),0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(3A),
CA_n48(2A)-n66A-n261(2G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2G),
CA_n48(2A)-n66A-n261(2H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2H),
CA_n48(2A)-n66A-n261(G-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(G-I),
CA_n48(2A)-n66A-n261(H-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(H-I),
CA_n48(2A)-n66A-n261(2A-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A-I),
CA_n48(2A)-n66A-n261(A-G-I),CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G-I),
CA_n48A-n77A-n258A,CA_n48A-n258ACA_n77A-n258A,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,"50, 100, 200, 400",
CA_n48A-n77A-n258G,CA_n48A-n258A/GCA_n77A-n258A/G,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258G,
CA_n48A-n77A-n258H,CA_n48A-n258A/G/HCA_n77A-n258A/G/H,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258H,
CA_n48A-n77A-n258I,CA_n48A-n258A/G/H/ICA_n77A-n258A/G/H/I,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258I,
CA_n48A-n77A-n258J,CA_n48A-n258A/G/H/I/JCA_n77A-n258A/G/H/I/J,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258J,
CA_n48A-n77A-n258(2A),CA_n48A-n258ACA_n77A-n258A,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(2A),
CA_n48A-n77A-n258(2G),CA_n48A-n258A/GCA_n77A-n258A/G,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(2G),
CA_n48A-n77A-n258(A-G),CA_n48A-n258A/GCA_n77A-n258A/G,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(A-G),
CA_n48A-n77A-n258(A-H),CA_n48A-n258A/G/HCA_n77A-n258A/G/H,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(A-H),
CA_n48A-n77A-n258(A-I),CA_n48A-n258A/G/H/ICA_n77A-n258A/G/H/I,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(A-I),
CA_n48A-n77A-n258(A-J),CA_n48A-n258A/G/H/I/JCA_n77A-n258A/G/H/I/J,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(A-J),
CA_n48A-n77A-n258(G-H),CA_n48A-n258A/G/HCA_n77A-n258A/G/H,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(G-H),
CA_n48A-n77A-n258(G-I),CA_n48A-n258A/G/H/ICA_n77A-n258A/G/H/I,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(G-I),
CA_n48A-n77A-n258(G-J),CA_n48A-n258A/G/H/I/JCA_n77A-n258A/G/H/I/J,n48,,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,,n77 channel bandwidths in Table 5.3.5-1,
,,n258,,CA_n258(G-J),
CA_n48A-n77A-n260A,CA_n48A-n260ACA_n77A-n260A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,,"50, 100, 200, 400",
CA_n48A-n77A-n260G,CA_n48A-n260A/GCA_n77A-n260A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,,CA_n260G,
CA_n48A-n77A-n260H,CA_n48A-n260A/G/HCA_n77A-n260A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,,CA_n260H,
CA_n48A-n77A-n260I,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,,CA_n260I,
CA_n48A-n77A-n260J,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,,CA_n260J,
CA_n48A-n77A-n260K,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,,CA_n260K,
CA_n48A-n77A-n260L,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,,CA_n260L,
CA_n48A-n77A-n260M,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,,CA_n260M,
CA_n48A-n77C-n260A,CA_n48A-n260ACA_n77A-n260A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n260,,"50, 100, 200, 400",
CA_n48A-n77C-n260G,CA_n48A-n260A/GCA_n77A-n260A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n260,,CA_n260G,
CA_n48A-n77C-n260H,CA_n48A-n260A/G/HCA_n77A-n260A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n260,,CA_n260H,
CA_n48A-n77C-n260I,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n260,,CA_n260I,
CA_n48A-n77C-n260J,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n260,,CA_n260J,
CA_n48A-n77C-n260K,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n260,,CA_n260K,
CA_n48A-n77C-n260L,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n260,,CA_n260L,
CA_n48A-n77C-n260M,CA_n48A-n260A/G/H/ICA_n77A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n260,,CA_n260M,
CA_n48A-n77A-n261A,CA_n48A-n261ACA_n77A-n261A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,"50, 100, 200, 400",
CA_n48A-n77A-n261G,CA_n48A-n261A/GCA_n77A-n261A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261G,
CA_n48A-n77A-n261H,CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261H,
CA_n48A-n77A-n261I,CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261I,
CA_n48A-n77A-n261J,CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261J,
CA_n48A-n77A-n261K,CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261K,
CA_n48A-n77A-n261L,CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261L,
CA_n48A-n77A-n261M,CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261M,
CA_n48A-n77A-n261(A-G),CA_n48A-n261A/GCA_n77A-n261A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(A-G),
CA_n48A-n77A-n261(A-H),CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(A-H),
CA_n48A-n77A-n261(A-I),CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(A-I),
CA_n48A-n77A-n261(G-H),CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(G-H),
CA_n48A-n77A-n261(2A),CA_n48A-n261ACA_n77A-n261A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(2A),
CA_n48A-n77A-n261(3A),CA_n48A-n261ACA_n77A-n261A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(3A),
CA_n48A-n77A-n261(2G),CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(2G),
CA_n48A-n77A-n261(2H),CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(2H),
CA_n48A-n77A-n261(2A-G),CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(2A-G),
CA_n48A-n77A-n261(2A-H),CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(2A-H),
CA_n48A-n77A-n261(A-2G),CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(A-2G),
CA_n48A-n77A-n261(A-G-H),CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(A-G-H),
CA_n48A-n77A-n261(G-I),CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(G-I),
CA_n48A-n77A-n261(H-I),CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(H-I),
CA_n48A-n77A-n261(2A-I),CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(2A-I),
CA_n48A-n77A-n261(A-G-I),CA_n48A-n261A/G/H/ICA_n77A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,,CA_n261(A-G-I),
CA_n48A-n77C-n261A,CA_n48A-n261ACA_n77A-n261A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n261,,"50, 100, 200, 400",
CA_n48A-n77C-n261G,CA_n48A-n261A/GCA_n77A-n261A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
,,n261,,CA_n261G,
CA_n48A-n77C-n261H,CA_n48A-n261A/G/HCA_n77A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77C_BCS1,
