NR CA configuration,Uplink configurationor single uplink carrier 2,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n7A-n20A-n75A-n78A,CA_n1A-n7ACA_n1A-n20ACA_n1A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n20A-n75A-n78(2A),CA_n1A-n7ACA_n1A-n20ACA_n1A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n7A-n28A-n75A-n78A,CA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n28A-n75A-n78(2A),CA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n7A-n28A-n38A-n78A4,-,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n7A-n40A-n78A-n79A,CA_n1A-n7ACA_n1A-n40ACA_n1A-n78ACA_n1A-n79ACA_n7A-n40ACA_n7A-n78ACA_n7A-n79ACA_n40A-n78ACA_n40A-n79ACA_n78A-n79A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n40A-n78A-n105A,CA_n1A-n7ACA_n1A-n40ACA_n1A-n78ACA_n1A-n105ACA_n7A-n40ACA_n7A-n78ACA_n7A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n1,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n40,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n8A-n40A-n78A-n79A,CA_n1A-n8ACA_n1A-n40ACA_n1A-n78ACA_n1A-n79ACA_n8A-n40ACA_n8A-n78ACA_n8A-n79ACA_n40A-n78ACA_n40A-n79ACA_n78A-n79A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n18A-n28A-n41A-n77A,"n413,5n773,5CA_n1A-n18ACA_n1A-n28ACA_n1A-n41A3CA_n1A-n77A3CA_n18A-n28A3CA_n18A-n41A3CA_n18A-n77A3CA_n28A-n41A3CA_n28A-n77A3CA_n41A-ns77A3",n1,"5, 10, 15, 20",0
,,n18,"5, 10, 15",
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n20A-n41A-n71A-n78A,CA_n1A-n20ACA_n1A-n41ACA_n1A-n71ACA_n1A-n78ACA_n20A-n41ACA_n20A-n71ACA_n20A-n78ACA_n41A-n71ACA_n41A-n78ACA_n71A-n78A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n20,"5, 10,15, 20",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10,15, 20, 25, 30, 35",
,,n78,"10,15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n28A-n40A-n78A-n79A,CA_n1A-n28ACA_n1A-n40ACA_n1A-n78ACA_n1A-n79ACA_n28A-n40ACA_n28A-n78ACA_n28A-n79ACA_n40A-n78ACA_n40A-n79A CA_n78A-n79A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n28A-n41A-n77A-n79A,CA_n1A-n28ACA_n1A-n41ACA_n1A-n77ACA_n1A-n79ACA_n28A-n41ACA_n28A-n77ACA_n28A-n79ACA_n41A-n77ACA_n41A-n79ACA_n77A-n79A,n1,"5, 10, 15, 20",0
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
CA_n2A-n5A-n30A-n66A-n77A,"n773,5CA_n2A-n5ACA_n2A-n30ACA_n2A-n66ACA_n2A-n77A3CA_n5A-n30ACA_n5A-n66ACA_n5A-n77A3CA_n30A-n66ACA_n30A-n77A3CA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n2A-n5A-n30A-n66A-n77(2A),"n773,5CA_n2A-n5ACA_n2A-n30ACA_n2A-n66ACA_n2A-n77A3CA_n5A-n30ACA_n5A-n66ACA_n5A-n77A3CA_n30A-n66ACA_n30A-n77A3CA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n2A-n5A-n48A-n66A-n77A,"n773,5CA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77A3CA_n5A-n48ACA_n5A-n66ACA_n5A-n77A3CA_n48A-n66ACA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n48,"5, 10, 15, 20, 40, 506, 606, 706, 806, 906, 1006",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77ACA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5A-n48A-n66A-n77A,CA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77ACA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n2,CA_n2(2A)_BCS 4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5B-n48A-n66A-n77A,CA_n5BCA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77ACA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS 4 and 5,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5A-n48A-n66(2A)-n77A,CA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77ACA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5A-n48B-n66A-n77A,CA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77A3CA_n5A-n48ACA_n5A-n66ACA_n5A-n77A3CA_n48A-n66ACA_n48BCA_n66A-n77A3,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n48,CA_n48B_BCS2,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n48BCA_n2A-n5ACA_n2A-n48ACA_n2A-n48BCA_n2A-n66ACA_n2A-n77ACA_n5A-n48ACA_n5A-n48BCA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n48B-n66ACA_n66A-n77A,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,CA_n48B_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5A-n48(2A)-n66A-n77A,CA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77ACA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,CA_n48(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5A-n48A-n66A-n77C,"n773,5CA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77A3CA_n5A-n48ACA_n5A-n66ACA_n5A-n77A3CA_n48A-n66ACA_n66A-n77A3CA_n77C",n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n48,"5, 10, 15, 20, 40, 506, 606, 706, 806, 906, 1006",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77C_BCS1,
,CA_n77CCA_n2A-n5ACA_n2A-n48ACA_n2A-n66ACA_n2A-n77ACA_n2A-n77CCA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n5A-n77CCA_n48A-n66ACA_n66A-n77ACA_n66A-n77C,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77C_BCS 4 and 5,
CA_n2A-n12A-n30A-n66A-n77A,"n773,5CA_n2A-n12ACA_n2A-n30ACA_n2A-n66ACA_n2A-n77A3CA_n12A-n30ACA_n12A-n66ACA_n12A-n77A3CA_n30A-n66ACA_n30A-n77A3CA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n2A-n12A-n30A-n66A-n77(2A),"n773,5CA_n2A-n12ACA_n2A-n30ACA_n2A-n66ACA_n2A-n77A3CA_n12A-n30ACA_n12A-n66ACA_n12A-n77A3CA_n30A-n66ACA_n30A-n77A3CA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n2A-n14A-n30A-n66A-n77A,"n773,5CA_n2A-n14ACA_n2A-n30ACA_n2A-n66ACA_n2A-n77A3CA_n14A-n30ACA_n14A-n66ACA_n14A-n77A3CA_n30A-n66ACA_n30A-n77A3CA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n2A-n14A-n30A-n66A-n77(2A),"n773,5CA_n2A-n14ACA_n2A-n30ACA_n2A-n66ACA_n2A-n77A3CA_n14A-n30ACA_n14A-n66ACA_n14A-n77A3CA_n30A-n66ACA_n30A-n77A3CA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n2A-n29A-n30A-n66A-n77A,"n773,5CA_n2A-n30ACA_n2A-n66ACA_n2A-n77A3CA_n30A-n66ACA_n30A-n77A3CA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n29,"5, 10",
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n2A-n29A-n30A-n66A-n77(2A),"n773,5CA_n2A-n30ACA_n2A-n66ACA_n2A-n77A3CA_n30A-n66ACA_n30A-n77A3CA_n66A-n77A3",n2,"5, 10, 15, 20",0
,,n29,"5, 10",
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n3A-n7A-n20A-n28A-n78A 7,CA_n3A-n7ACA_n3A-n20ACA_n3A-n28ACA_n3A-n78ACA_n7A-n20ACA_n7A-n28ACA_n7A-n78ACA_n20A-n28ACA_n20A-n78ACA_n28A-n78A,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n3A-n7A-n20A-n67A-n78A,CA_n3A-n7ACA_n3A-n20ACA_n3A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78A,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n3A-n7A-n20A-n67A-n78(2A),CA_n3A-n7ACA_n3A-n20ACA_n3A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78ACA_n78(2A),n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n3A-n7A-n20A-n75A-n78A,CA_n3A-n7ACA_n3A-n20ACA_n3A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78A,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n3A-n7A-n20A-n75A-n78(2A),CA_n3A-n7ACA_n3A-n20ACA_n3A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78ACA_n78(2A),n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n3A-n7A-n28A-n38A-n78A4,-,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n3A-n7A-n40A-n78A-n105A,CA_n3A-n7ACA_n3A-n40ACA_n3A-n78ACA_n3A-n105ACA_n7A-n40ACA_n7A-n78ACA_n7A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n3,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n40,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n3A-n8A-n39A-n41A-n79A,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n39,"5, 10, 15, 20, 25, 30, 35, 40",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
CA_n3A-n20A-n41A-n71A-n78A,CA_n3A-n20ACA_n3A-n41ACA_n3A-n71ACA_n3A-n78ACA_n20A-n41ACA_n20A-n71ACA_n20A-n78ACA_n41A-n71ACA_n41A-n78ACA_n71A-n78A,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",0
,,n20,"5, 10,15, 20",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10,15, 20, 25, 30, 35",
,,n78,"10,15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n3A-n28A-n41A-n77A-n79A,CA_n3A-n28ACA_n3A-n41ACA_n3A-n77ACA_n3A-n79ACA_n28A-n41ACA_n28A-n77ACA_n28A-n79ACA_n41A-n77ACA_n41A-n79ACA_n77A-n79A,n3,"5, 10, 15, 20",0
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
CA_n5A-n7A-n40A-n78A-n105A,CA_n5A-n7ACA_n5A-n40ACA_n5A-n78ACA_n5A-n105ACA_n7A-n40ACA_n7A-n78ACA_n7A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n5,"5, 10, 15, 20, 25",0
,,n7,"5, 10,15, 20, 25, 30, 35, 40, 50",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n7A-n25A-n66A-n71A-n77A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n71ACA_n7A-n77ACA_n25A-n66ACA_n25A-n71ACA_n25A-n77ACA_n66A-n71ACA_n66A-n77ACA_n71A-n77A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n7A-n25A-n66A-n71A-n77(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n71ACA_n7A-n77ACA_n25A-n66ACA_n25A-n71ACA_n25A-n77ACA_n66A-n71ACA_n66A-n77ACA_n71A-n77A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n25A-n41A-n66A-n71A-n77A,"n253n413,5n663n713n773,5CA_n25A-n41A3CA_n25A-n66A3CA_n25A-n71A3CA_n25A-n77A3CA_n41A-n66A3CA_n41A-n71A3CA_n41A-n77A3CA_n66A-n71A3CA_n66A-n77A3CA_n71A-n77A3",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66A-n71A-n77(2A),"n413,5n773,5CA_n25A-n41A3CA_n25A-n66ACA_n25A-n71ACA_n25A-n77A3CA_n41A-n66A3CA_n41A-n71A3CA_n41A-n77A3CA_n66A-n71ACA_n66A-n77A3CA_n71A-n77A3",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41A-n66(2A)-n71A-n77A,"n253n413,5n663n713n773,5CA_n25A-n41A3CA_n25A-n66A3CA_n25A-n71A3CA_n25A-n77A3CA_n41A-n66A3CA_n41A-n71A3CA_n41A-n77A3CA_n66A-n71A3CA_n66A-n77A3CA_n71A-n77A3",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66A-n71(2A)-n77A,"n253n413,5n663n713n773,5CA_n25A-n41A3CA_n25A-n66A3CA_n25A-n71A3CA_n25A-n77A3CA_n41A-n66A3CA_n41A-n71A3CA_n41A-n77A3CA_n66A-n71A3CA_n66A-n77A3CA_n71A-n77A3",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66A-n71B-n77A,"n253n413,5n663n713n773,5CA_n25A-n41A3CA_n25A-n66A3CA_n25A-n71A3CA_n25A-n77A3CA_n41A-n66A3CA_n41A-n71A3CA_n41A-n77A3CA_n66A-n71A3CA_n66A-n77A3CA_n71A-n77A3",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71B_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41C-n66A-n71A-n77A,"n253n413,5n663n713n773,5CA_n25A-n41A3CA_n25A-n41CCA_n25A-n66A3CA_n25A-n71A3CA_n25A-n77A3CA_n41A-n66A3CA_n41C-n66ACA_n41A-n71A3CA_n41C-n71ACA_n41A-n77A3CA_n41C-n77ACA_n41C3CA_n66A-n71A3CA_n66A-n77A3CA_n71A-n77A3",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41(2A)-n66A-n71A-n77A,"n253n413,5n663n713n773,5CA_n25A-n41A3CA_n25A-n66A3CA_n25A-n71A3CA_n25A-n77A3CA_n41A-n66A3CA_n41A-n71A3CA_n41A-n77A3CA_n66A-n71A3CA_n66A-n77A3CA_n71A-n77A3",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41A-n66A-n71A-n77A,"n253n413,5n663n713n773,5CA_n25A-n41A3CA_n25A-n66A3CA_n25A-n71A3CA_n25A-n77A3CA_n41A-n66A3CA_n41A-n71A3CA_n41A-n77A3CA_n66A-n71A3CA_n66A-n77A3CA_n71A-n77A3",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
"NOTE 1: For each channel bandwidth of each component carrier, refer to Table 5.3.5-1 of TS 38.101-1 and TS 38.101-2 for the applicable SCSs for NR FR1 and NR FR2 bands respectively. For a given band, not all UE channel bandwidths support the same SCSs.NOTE 2:Only single uplink carriers with power class other than PC3 are listed.NOTE 3:Minimum requirements for Power Class 2 are applicable for this uplink combination or single uplink carrier in this downlink/uplink combination.NOTE 4: For a band combination which includes band n7 and n38 simultaneously, carriers in band n7 and n38 can only be configured as downlink carriers. Power imbalance between downlink carriers on Band n7 and Band n38 is assumed to be within 6dB.NOTE 5:Power Class 1.5 is allowed for this single uplink carrier in this downlink/uplink combination.NOTE 6:For this bandwidth, the minimum requirements are restricted to operation when carrier is configured as a downlink SCell part of CA configurationNOTE 7:The frequency range in band n28 is restricted for this band combination to 703- 733 MHz for the UL and 758-788 MHz for the DL.",,,,
