NR CA configuration,Uplink CA configurationor single uplink carrier6,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n1A-n46(2A)-n78A,CA_n1A-n46ACA_n1A-n78ACA_n46A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n46A-n78(2A),CA_n1A-n46ACA_n1A-n78ACA_n46A-n78ACA_n78(2A),n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,"10, 20, 40, 60, 80",
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n46C-n78(2A),CA_n1A-n46ACA_n1A-n78ACA_n46A-n78ACA_n78(2A),n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46C_BCS0,
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n46D-n78(2A),CA_n1A-n46ACA_n1A-n78ACA_n46A-n78ACA_n78(2A),n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46D_BCS0,
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n46(2A)-n78(2A),CA_n1A-n46ACA_n1A-n78ACA_n46A-n78ACA_n78(2A),n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46(2A)_BCS0,
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n67A-n78A,CA_n1A-n78A,n1,"5, 10, 15, 20, 30, 40, 45, 50",0
,,n67,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n67A-n78(2A),CA_n1A-n78ACA_n78(2A),n1,"5, 10, 15, 20, 30, 40, 45, 50",0
,,n67,"5, 10, 15, 20",
,,n78,CA_n78(2A)_BCS2,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n71A-n77A,CA_n1A-n71ACA_n1A-n77ACA_n71A-n77A,n1,"5,10,15,20,25,30,40,45,50",0
,,n71,"5,10,15,20",
,,n77,"10,15,20,25,30,40,50,60,70,80,90,100",
CA_n1A-n71A-n77(2A),CA_n1A-n71ACA_n1A-n77ACA_n71A-n77A,n1,"5,10,15,20,25,30,40,45,50",0
,,n71,"5,10,15,20",
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n1A-n71A-n78A,CA_n1A-n71ACA_n1A-n78ACA_n71A-n78A,n1,"5,10,15,20,25,30,40,45,50",0
,,n71,"5,10,15,20",
,,n78,"10,15,20,25,30,40,50,60,70,80,90,100",
CA_n1A-n71A-n78C,CA_n78CCA_n1A-n71ACA_n1A-n78ACA_n1A-n78CCA_n71A-n78ACA_n71A-n78C,n1,"5,10,15,20,25,30,40,45,50",0
,,n71,"5,10,15,20",
,,n78,CA_n78C_BCS 4 and 5,
CA_n1A-n75A-n78A,CA_n1A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n75A-n78(2A),CA_n78(2A)CA_n1A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n77A-n79A4,"n777,9n797,9CA_n1A-n77A7CA_n1A-n79A7CA_n77A-n79A7",n1,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n77(2A)-n79A4,"n777,9n797,9CA_n1A-n77A7CA_n1A-n79A7CA_n77A-n79A7CA_n77(2A)7",n1,"5, 10, 15, 20",0
,,n77,CA_n77(2A)_BCS0,
,,n79,"40, 50, 60, 80, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS4 and 5,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n77(3A)-n79A4,"n777,9n797,9CA_n1A-n77A7CA_n1A-n79A7CA_n77A-n79ACA_n77(2A)7",n1,"5, 10, 15, 20",0
,,n77,CA_n77(3A)_BCS0,
,,n79,"40, 50, 60, 80, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS4 and 5,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n78A-n79A5,"n787,9n797,9CA_n1A-n78A7CA_n1A-n79A7CA_n78A-n79A7",n1,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n1,"5, 10, 15, 20",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n78(2A)-n79A,"n787,9n797,9CA_n1A-n78ACA_n1A-n79ACA_n78A-n79A",n1,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS1,
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n78A-n102A,CA_n1A-n78ACA_n1A-n102ACA_n78A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n102,"20, 40, 60, 80, 100",
CA_n1A-n78A-n102B,CA_n1A-n78ACA_n1A-n102ACA_n1A-n102BCA_n78A-n102ACA_n78A-n102B,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n102,CA_n102B_BCS0,
CA_n1A-n78A-n102C,CA_n1A-n78ACA_n1A-n102ACA_n1A-n102CCA_n78A-n102ACA_n78A-n102C,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n102,CA_n102C_BCS0,
CA_n1A-n78A-n102D,CA_n1A-n78ACA_n1A-n102ACA_n78A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n102,CA_n102D_BCS0,
CA_n1A-n78A-n102E,CA_n1A-n78ACA_n1A-n102ACA_n78A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n102,CA_n102E_BCS0,
CA_n1A-n78A-n102(2A),CA_n1A-n78ACA_n1A-n102ACA_n78A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n102,CA_n102(2A)_BCS0,
CA_n1A-n78(2A)-n102A,CA_n1A-n78ACA_n1A-n102ACA_n78A-n102ACA_n78(2A),n1,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS2,
,,n102,"20, 40, 60, 80, 100",
CA_n1A-n78(2A)-n102B,CA_n1A-n78ACA_n1A-n102ACA_n1A-n102BCA_n78A-n102ACA_n78A-n102BCA_n78(2A),n1,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS2,
,,n102,CA_n102B_BCS0,
CA_n1A-n78(2A)-n102C,CA_n1A-n78ACA_n1A-n102ACA_n1A-n102CCA_n78A-n102ACA_n78A-n102CCA_n78(2A),n1,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS2,
,,n102,CA_n102C_BCS0,
CA_n1A-n78(2A)-n102D,CA_n1A-n78ACA_n1A-n102ACA_n78A-n102ACA_n78(2A),n1,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS2,
,,n102,CA_n102D_BCS0,
CA_n1A-n78(2A)-n102E,CA_n1A-n78ACA_n1A-n102ACA_n78A-n102ACA_n78(2A),n1,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS2,
,,n102,CA_n102E_BCS0,
CA_n1A-n78(2A)-n102(2A),CA_n1A-n78ACA_n1A-n102ACA_n78A-n102ACA_n78(2A),n1,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS2,
,,n102,CA_n102(2A)_BCS0,
CA_n1A-n78A-n105A,CA_n1A-n78ACA_n1A-n105ACA_n78A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n2A-n5A-n30A,CA_n2A-n5ACA_n2A-n30ACA_n5A-n30A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n30,"5, 10",
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n30,n30 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5A-n30A,CA_n2A-n5ACA_n2A-n30ACA_n5A-n30A,n2,CA_n2(2A)_BCS0,0
,,n5,"5, 10, 15, 20",
,,n30,"5, 10",
,,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n30,n30 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5A-n41A,CA_n2A-n5ACA_n2A-n41ACA_n5A-n41A,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n5,"5, 10, 15, 20, 25",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
CA_n2A-n5A-n48A,CA_n2A-n5ACA_n2A-n48ACA_n5A-n48A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5A-n48A,CA_n2A-n5ACA_n2A-n48ACA_n5A-n48A,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5A-n48B,CA_n2A-n5ACA_n2A-n48ACA_n2A-n48BCA_n5A-n48ACA_n5A-n48BCA_n48B,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,CA_n48B_BCS4 and 5,
CA_n2A-n5B-n48A,CA_n2A-n5ACA_n2A-n48ACA_n5A-n48ACA_n5B,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5A-n48B,CA_n2A-n5ACA_n2A-n48ACA_n2A-n48BCA_n5A-n48ACA_n5A-n48BCA_n48B,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n48,CA_n48B_BCS0,
,,n2,"5, 10, 15, 20",1
,,n5,"5, 10, 15, 20",
,,n48,CA_n48B_BCS1,
,,n2,"5, 10, 15, 20",2
,,n5,"5, 10, 15, 20",
,,n48,CA_n48B_BCS2,
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,CA_n48B_BCS4 and 5,
CA_n2A-n5B-n48B,CA_n2A-n5ACA_n2A-n48ACA_n2A-n48BCA_n5A-n48ACA_n5A-n48BCA_n5BCA_n48B,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n48,CA_n48B_BCS4 and 5,
CA_n2A-n5A-n48(2A),CA_n2A-n5ACA_n2A-n48ACA_n5A-n48A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n48,CA_n48(2A)_BCS0,
,,n2,"5, 10, 15, 20",1
,,n5,"5, 10, 15, 20",
,,n48,CA_n48(2A)_BCS1,
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,CA_n48(2A)_BCS4 and 5,
CA_n2(2A)-n5A-n48(2A),CA_n2A-n5ACA_n2A-n48ACA_n5A-n48A,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,CA_n48(2A)_BCS4 and 5,
CA_n2(2A)-n5B-n48A,CA_n2A-n5ACA_n2A-n48ACA_n5A-n48ACA_n5B,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n48,n48 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5B-n48B,CA_n2A-n5ACA_n2A-n48ACA_n2A-n48BCA_n5A-n48ACA_n5A-n48BCA_n5BCA_n48B,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n48,CA_n48B_BCS4 and 5,
CA_n2A-n5B-n48(2A),CA_n2A-n5ACA_n2A-n48ACA_n5A-n48ACA_n5B,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n48,CA_n48(2A)_BCS4 and 5,
CA_n2(2A)-n5B-n48(2A),CA_n2A-n5ACA_n2A-n48ACA_n5A-n48ACA_n5B,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n48,CA_n48(2A)_BCS4 and 5,
CA_n2A-n5A-n48(A-B),CA_n2A-n5ACA_n2A-n48ACA_n5A-n48A,n2,"5, 10, 15, 20, 25, 30, 40",0
,,n5,"5, 10, 15, 20, 251",
,,n48,CA_n48(A-B)_BCS0,
,,n2,"5, 10, 15, 20, 25, 30, 40",1
,,n5,"5, 10, 15, 20, 251",
,,n48,CA_n48(A-B)_BCS1,
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n48,CA_n48(A-B)_BCS4 and 5,
CA_n2A-n5A-n66A,CA_n2A-n5ACA_n2A-n66ACA_n5A-n66A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5A-n66A,CA_n2A-n5ACA_n2A-n66ACA_n5A-n66A,n2,CA_n2(2A)_BCS0,0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5A-n66(2A),CA_n2A-n5ACA_n2A-n66ACA_n5A-n66A,n2,CA_n2(2A)_BCS0,0
,,n5,"5, 10, 15, 20",
,,n66,CA_n66(2A)_BCS1,
,,n2,CA_n2(2A)_BCS 4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS4 and 5,
CA_n2A-n5A-n66(2A),CA_n2A-n5ACA_n2A-n66ACA_n5A-n66A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,CA_n66(2A)_BCS0,
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS4 and 5,
CA_n2A-n5A-n66(3A),CA_n2A-n5ACA_n2A-n66ACA_n5A-n66A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,CA_n66(3A)_BCS0,
CA_n2A-n5B-n66A,CA_n2A-n5ACA_n2A-n66ACA_n5A-n66ACA_n5B,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5B-n66(2A),CA_n2A-n5ACA_n2A-n66ACA_n5A-n66ACA_n5B,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n66,CA_n66(2A)_BCS4 and 5,
CA_n2(2A)-n5B-n66A,CA_n2A-n5ACA_n2A-n66ACA_n5A-n66ACA_n5B,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5B-n66(2A),CA_n2A-n5ACA_n2A-n66ACA_n5A-n66ACA_n5B,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n66,CA_n66(2A)_BCS4 and 5,
CA_n2A-n5A-n77A,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n5A-n77A7,13,14",n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n5A-n77A7,13,14",n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5B-n77A,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n5A-n77A7,13,14CA_n5B",n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5A-n77C,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n5A-n77A7,13,14CA_n77C7,9",n2,"5, 10, 15, 20, 25, 30, 40",0
,,n5,"5, 10, 15, 20, 251",
,,n77,CA_n77C_BCS0,
,,n2,"5, 10, 15, 20, 25, 30, 40",1
,,n5,"5, 10, 15, 20, 251",
,,n77,CA_n77C_BCS1,
,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n2A-n77C7,13,14CA_n5A-n77A7,13,14CA_n5A-n77C7,13,14CA_n77C7,9",n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77C_BCS4 and 5,
CA_n2A-n5B-n77C,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n2A-n77C7,13,14CA_n5BCA_n5A-n77A7,13,14CA_n5A-n77C7,13,14CA_n77C7,9",n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n77,CA_n77C_BCS4 and 5,
CA_n2A-n5A-n77(2A),"n777,9CA_n2A-n5ACA_n2A-n77A7CA_n5A-n77A7",n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n77,CA_n77(2A)_BCS1,
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n2(2A)-n5A-n77A,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n5A-n77A7,13,14",n2,CA_n2(2A)_BCS0,0
,,n5,"5, 10, 15, 20",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n5A-n77A7,13,14",n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5A-n77C,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n2A-n77C7,13,14CA_n5A-n77A7,13,14CA_n5A-n77C7,13,14CA_n77C7,9",n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77C_BCS4 and 5,
CA_n2(2A)-n5A-n77(2A),"n777,9CA_n2A-n5ACA_n2A-n77A7CA_n5A-n77A7",n2,CA_n2(2A)_BCS0,0
,,n5,"5, 10, 15, 20",
,,n77,CA_n77(2A)_BCS1,
,,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n2(2A)-n5B-n77A,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n5A-n77A7,13,14CA_n5B",n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5B-n77C,"n777,9CA_n2A-n5ACA_n2A-n77A7,13,14CA_n2A-n77C7,13,14CA_n5A-n77A7,13,14CA_n5A-n77C7,13,14CA_n5BCA_n77C7,9",n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n5,CA_n5B_BCS4 and 5,
,,n77,CA_n77C_BCS4 and 5,
CA_n2A-n7A-n12A,-,n2,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n12,"5, 10, 15",
CA_n2A-n7A-n66A,-,n2,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n66,"5, 10, 15, 20, 40",
CA_n2A-n7A-n71A,-,n2,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n71,"5, 10, 15, 20",
CA_n2A-n7A-n77A,-,n2,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n2A-n12A-n30A,CA_n2A-n12ACA_n2A-n30ACA_n12A-n30A,n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n30,"5, 10",
CA_n2(2A)-n12A-n30A,CA_n2A-n12ACA_n2A-n30ACA_n12A-n30A,n2,CA_n2(2A)_BCS0,0
,,n12,"5, 10, 15",
,,n30,"5, 10",
CA_n2A-n12A-n41A,-,n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
CA_n2A-n12A-n66A,CA_n2A-n12ACA_n2A-n66ACA_n12A-n66A,n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n2(2A)-n12A-n66A,CA_n2A-n12ACA_n2A-n66A CA_n12A-n66A,n2,CA_n2(2A)_BCS0,0
,,n12,"5, 10, 15",
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n2A-n12A-n66(2A),CA_n2A-n12ACA_n2A-n66A CA_n12A-n66A,n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n66,CA_n66(2A)_BCS1,
CA_n2(2A)-n12A-n66(2A),CA_n2A-n12ACA_n2A-n66ACA_n12A-n66A,n2,CA_n2(2A)_BCS0,0
,,n12,"5, 10, 15",
,,n66,CA_n66(2A)_BCS1,
CA_n2A-n12A-n66(3A),CA_n2A-n12ACA_n2A-n66ACA_n12A-n66A,n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n66,CA_n66(3A)_BCS0,
CA_n2A-n12A-n71A,CA_n2A-n12ACA_n2A-n71A,n2,"5, 10, 15, 20, 25, 30, 40",0
,,n12,"5, 10, 15",
,,n71,"5, 10, 15, 20",
CA_n2A-n12A-n77A,"n777,9CA_n2A-n12ACA_n2A-n77A7CA_n12A-n77A7",n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n2(2A)-n12A-n77A,"n777,9CA_n2A-n12ACA_n2A-n77A7CA_n12A-n77A7",n2,CA_n2(2A)_BCS0,0
,,n12,"5, 10, 15",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n2A-n12A-n77(2A),"n777,9CA_n2A-n12ACA_n2A-n77A7CA_n12A-n77A7",n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
,,n77,CA_n77(2A)_BCS1,
CA_n2(2A)-n12A-n77(2A),"n777,9CA_n2A-n12ACA_n2A-n77A7CA_n12A-n77A7",n2,CA_n2(2A)_BCS0,0
,,n12,"5, 10, 15",
,,n77,CA_n77(2A)_BCS1,
CA_n2A-n14A-n30A,CA_n2A-n14ACA_n2A-n30ACA_n14A-n30A,n2,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n30,"5, 10",
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n14,n14 channel bandwidths in Table 5.3.5-1,
,,n30,n30 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n14A-n30A,CA_n2A-n14ACA_n2A-n30ACA_n14A-n30A,n2,CA_n2(2A)_BCS0,0
,,n14,"5, 10",
,,n30,"5, 10",
CA_n2A-n14A-n66A,CA_n2A-n14ACA_n2A-n66ACA_n14A-n66A,n2,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n14,n14 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n14A-n66A,CA_n2A-n14ACA_n2A-n66ACA_n14A-n66A,n2,CA_n2(2A)_BCS0,0
,,n14,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n14,n14 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n14A-n66(2A),CA_n2A-n14ACA_n2A-n66ACA_n14A-n66A,n2,CA_n2(2A)_BCS0,0
,,n14,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n2,CA_n2(2A)_BCS4 and 5,4 and 5
,,n14,n14 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS4 and 5,
CA_n2A-n14A-n66(2A),CA_n2A-n14ACA_n2A-n66ACA_n14A-n66A,n2,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n14,n14 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS4 and 5,
CA_n2A-n14A-n66(3A),CA_n2A-n14ACA_n2A-n66ACA_n14A-n66A,n2,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n66,CA_n66(3A)_BCS0,
CA_n2A-n14A-n77A,"n777,9CA_n2A-n14ACA_n2A-n77A7CA_n14A-n77A7",n2,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
