NR CA configuration,Uplink CA configurationor single uplink carrier 4,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n25(2A)-n38A-n66(2A)-n78A,CA_n25A-n38ACA_n25A-n66ACA_n25A-n78ACA_n38A-n66ACA_n38A-n78ACA_n66A-n78A,n25,CA_n25(2A)_BCS0,0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n25(2A)-n38A-n66A-n78(2A),CA_n25A-n38ACA_n25A-n66ACA_n25A-n78ACA_n38A-n66ACA_n38A-n78ACA_n66A-n78A,n25,CA_n25(2A)_BCS0,0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n25A-n38A-n66(2A)-n78(2A),CA_n25A-n38ACA_n25A-n66ACA_n25A-n78ACA_n38A-n66ACA_n38A-n78ACA_n66A-n78A,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,CA_n78(2A)_BCS2,
CA_n25(2A)-n38A-n66(2A)-n78(2A),CA_n25A-n38ACA_n25A-n66ACA_n25A-n78ACA_n38A-n66ACA_n38A-n78ACA_n66A-n78A,n25,CA_n25(2A)_BCS0,0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,CA_n78(2A)_BCS2,
CA_n25A-n41A-n66A-n71A,-,n25,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n66,"5, 10, 15, 20, 40",
,,n71,"5, 10, 15, 20",
,"n255n415,6n665n715CA_n25A-n41A5,9,10CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5,9,10CA_n41A-n71A5,9,10CA_n66A-n71A5",n25,"5, 10, 15, 20, 25, 30, 40",1
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n71,"5, 10, 15, 20",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41(A-C)-n66A-n71A,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n71A5CA_n41C-n71ACA_n41C5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(A-C)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66(2A)-n71A,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66(2A)-n71(2A),"n415,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n71ACA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n25A-n41A-n66(2A)-n71B,"n415,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n71ACA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n71,CA_n71B_BCS 4 and 5,
CA_n25A-n41A-n66A-n71(2A),"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n25A-n41A-n66A-n71B,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71B_BCS 4 and 5,
CA_n25A-n41(2A)-n66A-n71A,-,n25,"5, 10, 15, 20",0
,,n41,CA_n41(2A)_BCS0,
,,n66,"5, 10, 15, 20",
,,n71,"5, 10, 15, 20",
,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,"5, 10, 15, 20, 25, 30, 40",1
,,n41,CA_n41(2A)_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n71,"5, 10, 15, 20",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41(2A)-n66A-n71(2A),"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n25A-n41(2A)-n66A-n71B,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71B_BCS 4 and 5,
CA_n25A-n41(2A)-n66(2A)-n71A,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41C-n66A-n71A,-,n25,"5, 10, 15, 20",0
,,n41,CA_n41C_BCS0,
,,n66,"5, 10, 15, 20, 40",
,,n71,"5, 10, 15, 20",
,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n71A5CA_n41C-n71ACA_n41C5CA_n66A-n71A5",n25,"5, 10, 15, 20, 25, 30, 40",1
,,n41,CA_n41C_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n71,"5, 10, 15, 20",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41C-n66A-n71(2A),"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n71A5CA_n41C-n71ACA_n41C5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n25A-n41C-n66A-n71B,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n71A5CA_n41C-n71ACA_n41C5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71B_BCS 4 and 5,
CA_n25A-n41C-n66(2A)-n71A,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n71A5CA_n41C-n71ACA_n41C5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41A-n66A-n71A,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41A-n66A-n71(2A),"n415,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n71ACA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n25(2A)-n41A-n66A-n71B,"n415,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n71ACA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71B_BCS 4 and 5,
CA_n25(2A)-n41A-n66(2A)-n71A,"n415,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n71ACA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41(2A)-n66A-n71A,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41C-n66A-n71A,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n71A5CA_n41C-n71ACA_n41C5CA_n66A-n71A5",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41(3A)-n66A-n71A,"n255n415,6n665n715CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n71A5CA_n41A-n66A5CA_n41A-n71A5CA_n66A-n71A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(3A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66A-n77A,"n255n415,6n665n775,6CA_n25A-n41A5,6CA_n25A-n66A5CA_n25A-n77A5,6CA_n41A-n66A5,6CA_n41A-n77A5,6CA_n66A-n77A5,6",n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41(A-C)-n66A-n77A,"n415,6n775,6CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66ACA_n25A-n77A5CA_n41C5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n77A5CA_n41C-n77ACA_n66A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(A-C)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41C-n66A-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n41C5CA_n41C-n66ACA_n41C-n77ACA_n66A-n77A5",n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41C_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41C-n66A-n77(2A),CA_n25A-n41ACA_n25A-n66ACA_n25A-n77ACA_n41CCA_n41A-n66ACA_n41A-n77ACA_n66A-n77A,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41C-n66(2A)-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n77A5CA_n41C-n77ACA_n41C5CA_n66A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41(2A)-n66A-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41(2A)_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41(2A)-n66A-n77(2A),CA_n25A-n41ACA_n25A-n66ACA_n25A-n77ACA_n41A-n66ACA_n41A-n77ACA_n66A-n77A,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41(3A)-n66A-n77A,"n415,6n775,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(3A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66(2A)-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66A-n77(2A),"n415,6n775,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41A-n66(2A)-n77(2A),"n415,6n775,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41(2A)-n66(2A)-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41A-n66A-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41A-n66A-n77(2A),"n415,6n775,6CA_n25A-n41A5CA_n25A-n66ACA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25(2A)-n41A-n66(2A)-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41C-n66A-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n41CCA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41C-n66ACA_n41A-n77A5CA_n41C-n77ACA_n66A-n77A5CA_n41C5",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25(2A)-n41(2A)-n66A-n77A,"n255n415,6n665n775,6CA_n25A-n41A5CA_n25A-n66A5CA_n25A-n77A5CA_n41A-n66A5CA_n41A-n77A5CA_n66A-n77A5",n25,CA_n25(2A)_BCS 4 and 5,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n66A-n78A,CA_n25A-n41ACA_n25A-n66ACA_n25A-n78ACA_n41A-n66ACA_n41A-n78ACA_n66A-n78A,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n25A-n41A-n66A-n78(2A),CA_n25A-n41ACA_n25A-n66ACA_n25A-n78ACA_n41A-n66ACA_n41A-n78ACA_n66A-n78A,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n25A-n41A-n66A-n85A,CA_n25A-n41ACA_n25A-n66ACA_n25A-n85ACA_n41A-n66ACA_n41A-n85ACA_n66A-n85A,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n85,n85 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n71A-n77A,"n255n415,6n715n775,6CA_n25A-n41A5,6CA_n25A-n71A5CA_n25A-n77A5,6CA_n41A-n71A5,6CA_n41A-n77A5,6CA_n71A-n77A5,6",n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10, 15, 20",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n71A-n77(2A),"n415,6n775,6CA_n25A-n41A5CA_n25A-n71ACA_n25A-n77A5CA_n41A-n71A5CA_n41A-n77A5CA_n71A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41A-n71B-n77A,"n255n415,6n715n775,6CA_n25A-n41A5CA_n25A-n71A5CA_n25A-n77A5CA_n41A-n71A5CA_n41A-n77A5CA_n71A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71B_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n71B-n77(2A),"n415,6n775,6CA_n25A-n41A5CA_n25A-n71ACA_n25A-n77A5CA_n41A-n71A5CA_n41A-n77A5CA_n71A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71B_BCS 4 and 5,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41A-n71(2A)-n77A,"n255n415,6n715n775,6CA_n25A-n41A5CA_n25A-n71A5CA_n25A-n77A5CA_n41A-n71A5CA_n41A-n77A5CA_n71A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41A-n71(2A)-n77(2A),"n415,6n775,6CA_n25A-n41A5CA_n25A-n71ACA_n25A-n77A5CA_n41A-n71A5CA_n41A-n77A5CA_n71A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n71,CA_n71(2A)_BCS 4 and 5,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41(A-C)-n71A-n77A,"n415,6n775,6CA_n25A-n41A5CA_n25A-n41CCA_n25A-n71ACA_n25A-n77A5CA_n41C5CA_n41A-n71A5CA_n41C-n71ACA_n41A-n77A5CA_n41C-n77ACA_n71A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(A-C)_BCS 4 and 5,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41C-n71A-n77A,"n255n415,6n715n775,6CA_n25A-n41A5CA_n25A-n41CCA_n25A-n71A5CA_n25A-n77A5CA_n41A-n71A5CA_n41A-n77A5CA_n41C5CA_n41C-n71ACA_n41C-n77ACA_n71A-n77A5",n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41C_BCS1,
,,n71,"5, 10, 15, 20",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41C-n71A-n77(2A),CA_n25A-n41ACA_n25A-n71ACA_n25A-n77ACA_n41CCA_n41A-n71ACA_n41A-n77ACA_n71A-n77A,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n25A-n41C-n71B-n77A,"n255n415,6n715n775,6CA_n25A-n41A5CA_n25A-n41CCA_n25A-n71A5CA_n25A-n77A5CA_n41A-n71A5CA_n41C-n71ACA_n41A-n77A5CA_n41C-n77ACA_n41C5CA_n71A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n71,CA_n71B_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41C-n71(2A)-n77A,"n255n415,6n715n775,6CA_n25A-n41A5CA_n25A-n41CCA_n25A-n71A5CA_n25A-n77A5CA_n41A-n71A5CA_n41C-n71ACA_n41A-n77A5CA_n41C-n77ACA_n41C5CA_n71A-n77A5",n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n71,CA_n71(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n41(2A)-n71A-n77A,"n255n415,6n715n775,6CA_n25A-n41A5CA_n25A-n71A5CA_n25A-n77A5CA_n41A-n71A5CA_n41A-n77A5CA_n71A-n77A5",n25,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41(2A)_BCS1,
,,n71,"5, 10, 15, 20",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS 4 and 5,
