Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)12",,,
DC_14-30-66-n2,0.3,0.3,0.5,0.5
DC_14-30-66_n66,0.5,0.3,0.5,0.5
DC_14-30-66_n77DC_14-30-66-66_n77,0.6,0.3,0.6,0.8
DC_18-41_n3-n77,0.3,0.34 / 0.85,0.6,0.8
DC_18-41_n3-n78,0.3,0.34 / 0.85,0.6,0.8
DC_19_n1-n77-n79,0.3,0.6,0.8,0.5
DC_19_n1-n78-n79,0.3,0.3,0.8,0.5
DC_19-21_n1-n77,0.3,0.4,0.3,0.8
DC_19-21_n1-n78,0.3,0.4,0.6,0.8
DC_19-21_n1-n79,0.3,0.4,0.3,-
DC_19-21-42_n1,0.3,0.4,0.8,0.3
DC_19-21-42_n77,0.3,0.4,N/A,0.8
DC_19-21-42_n78,0.3,0.4,N/A,0.8
DC_19-21-42_n79,0.3,0.4,N/A,-
DC_19-21_n77-n79,0.3,0.4,0.8,-
DC_19-21_n78-n79,0.3,0.4,0.8,-
DC_19-42_n1-n77,0.3,N/A,0.6,0.8
DC_19-42_n1-n78,0.3,N/A,0.3,0.8
DC_19-42_n1-n79,0.3,0.8,0.3,-
DC_19-42_n77-n79,0.3,N/A,0.8,-
DC_19-42_n78-n79,0.3,N/A,0.8,-
DC_20-(n)3-n67,0.5,0.3,0.3,N/A
DC_20-28-32_n1,0.6,0.6,N/A,0.5
DC_20-28-32_n3,0.5,0.6,N/A,0.5
DC_20-28-38_n1,0.6,0.6,0.5,0.5
DC_20-28-40_n1,0.6,0.6,0.5,0.5
DC_20-28-40_n78,0.6,0.6,0.5,0.8
DC_20-32_n1-n28,0.6,N/A,0.3,0.7
DC_20-32_n1-n78,0.6,N/A,0.3,0.8
DC_20-32-38_n1,0.3,N/A,0.5,0.5
DC_20-38_n3-n78,0.6,0.5,0.6,0.8
DC_20-38-40_n1,0.6,0.5,0.5,0.5
DC_20-38-40_n28,0.6,0.5,0.5,0.5
DC_20-41_n1-n41,0.3,0.3,0.5,0.5
DC_20-41_n1-n78,0.3,0.5,0.5,0.8
DC_20-67-(n)3,0.5,0.3,N/A,0.3
DC_21_n1-n77-n79,0.4,0.6,0.8,0.5
DC_21_n1-n78-n79,0.4,0.6,0.8,0.5
DC_21-28-42_n77,0.4,0.5,N/A,0.8
DC_21-28-42_n78,0.4,0.5,N/A,0.8
DC_21-28-42_n79,0.4,0.5,N/A,-
DC_21_n28-n77-n79,0.4,0.5,0.8,0.5
DC_21_n28-n78-n79,0.4,0.5,0.8,-
DC_21-42_n1-n77,0.4,N/A,0.6,0.8
DC_21-42_n1-n78,0.4,N/A,0.3,0.8
DC_21-42_n1-n79,0.4,0.8,0.3,-
DC_21-42_n77-n79,0.4,N/A,0.8,-
DC_21-42_n78-n79,0.4,N/A,0.8,-
DC_28_n1-n40-n78,0.2,0.2,0.8,0.5
DC_28_n5-n40-n78,0.6,0.6,0.6,0.8
DC_28-32-38_n1,0.7,N/A,0.5,0.5
DC_28-32_n40-n41,0.6,N/A,0.9,0.8
DC_28-41-42_n78,0.5,0.3,N/A,0.8
DC_29-30-66_n2DC_29-30-66-66_n2,N/A,0.3,0.5,0.5
DC_29-30-66_n66,N/A,0.3,0.5,0.5
DC_29-30-66_n77,N/A,0.3,0.6,0.8
DC_30-66-(n)5,0.3,0.3,0.5,0.3
DC_42_n1-n77-n79,0.8,0.6,0.8,-
DC_42_n1-n78-n79,0.8,0.3,0.8,-
DC_42_n3-n28-n77,0.8,0.6,0.8,0.8
DC_46-66_n25-n41,N/A,0.5,0.5,0.41 / 0.92
DC_46-66_n25-n71,N/A,0.5,0.5,0.3
DC_46-66_n41-n71,N/A,0.5,0.41 / 0.92,0.6
DC_48-66_n25-n48,0.8,0.6,0.6,0.8
DC_66-71_n2-n41,0.5,0.3,0.5,0.5
DC_66-71_n2-n66,0.5,0.3,0.5,0.5
DC_66-71_n2-n77,0.5,0.3,0.5,0.8
DC_66-71_n2-n78,0.5,0.3,0.5,0.5
DC_66-71_n66-n77,0.6,0.6,0.6,0.8
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2545 - 2690 MHz.NOTE 2:The requirement is applied for UE transmitting on the frequency range of 2496 - 2545 MHz.NOTE 3:The values in the table reflect what can be achieved with the present state of the art technology. They shall be reconsidered when the state of the art technology progresses.NOTE 4:The requirement is applied for UE transmitting on the frequency range of 2515 – 2690 MHz.NOTE 5:The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.NOTE 6:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx.NOTE 7:Void.NOTE 8:Void.NOTE 9:Only applicable for UE supporting inter-band carrier aggregation with uplink in one NR band and without simultaneous Rx/TxNOTE 10: The requirement is applied for UE transmitting on the frequency range of 2515 - 2690 MHz.NOTE 11: The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.NOTE 12:“-” denotes ΔTIB,c = 0.NOTE 13:The component band order in the configuration should be listed by the order of E-UTRA band and NR band respectively, such as for DC_30-66-(n)5 the band order from left to right is 5, 30, 66 and n5.",,,,
