NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,
EN-DC Configuration,EUTRA / NR band,UL Fc (MHz),UL/DL BW (MHz),ULLCRB,DL Fc (MHz),MSD (dB),IMD order,
DC_3A-7A_n78ADC_3C-7A_n78A DC_3C-7C_n78ADC_3A-3A-7A_n78ADC_3A-3A-7A-7A_n78ADC_3A-7A_SUL_n78A-n80ADC_3C-7A_SUL_n78A-n80ADC_3A-7A_n78(2A)DC_3C-7A_n78(2A)DC_3A-7C_n78(2A)DC_3C-7C_n78(2A)DC_3A-7A_n78CDC_3A-7A_n78(A-C)DC_3A-7A-7A_n78C,3,N/A,5,N/A,1820,17.6,IMD3,
DC_3A-7A-7A_n78(A-C),7,2565,5,25,2685,N/A,N/A,
,n78,3310,10,50,3310,N/A,N/A,
,3,N/A,5,N/A,1820,8.6,IMD4,
,7,2565,5,25,2685,N/A,N/A,
,n78,3475,10,50,3475,N/A,N/A,
DC_3A-7A_n79A,3,1770,5,25,1865,N/A,N/A,
DC_3A-3A-7A_n79A,n79,4440,10,50,4440,N/A,N/A,
DC_3A-7A-7A_n79A,7,N/A,5,N/A,2670,30.2,IMD2,
DC_3A-3A-7A-7A_n79A,3,1770,5,25,1865,N/A,N/A,
,n79,4440,10,50,4440,N/A,N/A,
,7,N/A,5,N/A,2640,5.0,IMD5,
,7,2565,5,25,2685,N/A,N/A,
,n79,4420,10,50,4420,N/A,N/A,
,3,N/A,5,N/A,1855,29.4,IMD2,
,7,2550,5,25,2670,N/A,N/A,
,n79,4745,10,50,4745,N/A,N/A,
,3,N/A,5,N/A,1840,4.8,IMD5,
DC_3A-7A_n105A,3,N/A,5,N/A,1875,16.5,IMD2,
,7,2550,5,25,2670,N/A,N/A,
,n105,675,5,25,624,N/A,N/A,
DC_3A-8A_n7A,3,1735,5,25,1830,N/A,N/A,
,n7,2530,10,50,2650,N/A,N/A,
,8,N/A,5,N/A,940,18.0,IMD3,
DC_3A-8A_n40A,3,N/A,5,N/A,1874,4,IMD5,
DC_3C-8A_n40A,8,912,5,25,957,N/A,N/A,
,n40,2305,10,50,2305,N/A,N/A,
DC_3A-8A_n41A,3,1725,5,25,1820,N/A,N/A,
DC_3A-3A-8A_n41A,8,N/A,5,N/A,945,26.0,IMD215,
,n41,2670,10,50,2670,N/A,N/A,
,3,N/A,5,N/A,1807.5,25,IMD2x,
,8,882.5,5,25,927.5,N/A,N/A,
,n41,2685,10,50,2685,N/A,N/A,
DC_3A_n8A-n41A,3,1722.5,5,25,1817.5,N/A,N/A,
,n8,887.5,5,25,932.5,N/A,N/A,
,n41,N/A,10,N/A,2610,28.0,IMD216,
,3,1725,5,25,1820,N/A,N/A,
,n8,N/A,5,N/A,945,26.0,IMD216,
,n41,2516,10,50,2516,N/A,N/A,
DC_3A-8A_n71A,3,1730,5,25,1825,N/A,N/A,
DC_3C-8A_n71A,8,N/A,5,N/A,932,5,IMD5,
,n71,665.5,5,25,619.5,N/A,N/A,
,3,N/A,5,N/A,1870,5,IMD5,
,8,890,5,25,935,N/A,N/A,
,n71,690,5,25,644,N/A,N/A,
DC_3A-8A_n77ADC_3A-8A_n77(2A)DC_3A-8A_n77(3A)DC_3C-8A_n77ADC_3C-8A_n77(2A),3,1715,5,25,1810,N/A,N/A,
DC_3A-8B_n77A,n77,4190,10,50,4190,N/A,N/A,
,8,N/A,5,N/A,955,9.7,IMD4,
,3,N/A,5,N/A,1820,16.5,IMD3,
,8,910,5,25,955,N/A,N/A,
,n77,3640,10,50,3640,N/A,N/A,
DC_3A-8A_n78ADC_3A-3A-8A_n78A,8,910,5,25,955,N/A,N/A,
DC_3A-8B_n78ADC_3A-3A-8B_n78A DC_3A-8A_n78(2A)DC_3C-8A_n78(2A),n78,3640,10,50,3640,N/A,N/A,
,3,N/A,5,N/A,1820,16.5,IMD319,
DC_3A_n8A-n78A,3,1740,5,25,1835,N/A,N/A,
,n8,900,5,25,945,N/A,N/A,
,n78,N/A,10,N/A,3540,16.3,IMD3,
DC_3A-8A_n79A,3,1755,5,25,1850,N/A,N/A,
,n79,4465,40,216,4465,N/A,N/A,
,8,N/A,5,N/A,955,15.3,IMD3,
,3,N/A,5,N/A,1850,8.8,IMD4,
,8,910,5,25,955,N/A,N/A,
,n79,4580,40,216,4580,N/A,N/A,
DC_3A_n7A-n78ADC_3A_n7B-n78ADC_3C_n7A-n78ADC_3C_n7B-n78A,3,1730,5,25,1825,N/A,N/A,
DC_3A_n7A-n78(2A),n7,2560,5,25,2680,N/A,N/A,
DC_3C_n7A-n78(2A),n78,N/A,10,N/A,3390,16.1,IMD3,
DC_3A-11A_n77ADC_3A-11A_n77(2A),3,1720,5,25,1815,N/A,N/A,
,n77,3675,10,50,3675,N/A,N/A,
,11,N/A,5,N/A,1491,8.8,IMD4,
,11,1435.4,5,25,1483.4,N/A,N/A,
,n77,3905,10,50,3905,N/A,N/A,
,3,N/A,5,N/A,1848,3.4,IMD57,
DC_3A-11A_n79A,3,1720,5,25,1815,N/A,N/A,
,11,N/A,5,25,N/A,25.1,IMD3,
,n79,4920,40,216,4920,N/A,N/A,
DC_3A-19A_n79A,3,1775,5,25,1870,N/A,N/A,
,19,N/A,5,N/A,885,18.5,IMD3,
,n79,4435,40,216,4435,N/A,N/A,
,3,N/A,5,N/A,1877.5,5.5,IMD4,
,19,842.5,5,25,887.5,N/A,N/A,
,n79,4420,40,216,4420,N/A,N/A,
DC_3A-20A_n3A,3,N/A,5,N/A,1870,4,IMD4,
,20,835,5,25,794,N/A,N/A,
,n3,1765,5,25,1860,N/A,N/A,
DC_3A-20A_n7ADC_3C-20A_n7A,3,1737,5,25,1832,N/A,N/A,
,20,N/A,10,N/A,806,10.5,IMD2,
,n7,2543,10,50,2663,N/A,N/A,
DC_3A-20A_n8A,3,1720,5,25,1815,N/A,N/A,
,n8,910,5,25,955,N/A,N/A,
,20,N/A,5,N/A,810,27,IMD2,
,3,N/A,5,N/A,1860,14.5,IMD4,
,n8,900,5,25,945,N/A,N/A,
,20,840,5,25,799,N/A,N/A,
DC_3A-20A_n28ADC_3C-20A_n28A,20,852,5,25,811,N/A,N/A,
,n28,728,5,25,783,N/A,N/A,
,3,N/A,5,N/A,1828,9.4,IMD4,
DC_3A-20A_n38A,3,1779,5,25,1874,N/A,N/A,
,20,N/A,10,N/A,811,26.0,IMD21,
,n38,2590,10,50,2590,N/A,N/A,
DC_3A-20A_n41ADC_3C-20A_n41ADC_3A-3A-20A-n41A,3,N/A,5,N/A,1839,26.0,IMD2,
,n41,2680,10,50,2680,N/A,N/A,
,20,841,10,50,800,N/A,N/A,
,3,1779,5,25,1874,N/A,N/A,
,n41,2590,10,50,2590,N/A,N/A,
,20,N/A,10,N/A,811,26.0,IMD2,
,3,1730,5,25,1825,N/A,N/A,
,n41,2660,10,50,2660,N/A,N/A,
,20,N/A,5,N/A,800,12.5,IMD3,
DC_3_n20-n67,3,1765,5,25,1860,N/A,N/A,
,n20,837,5,25,796,N/A,N/A,
,n67,N/A,5,N/A,746,10.1,IMD4,
DC_3A_20A_SUL_n78A-n80ADC_3C_20A_SUL_n78A-n80A,3,N/A,5,N/A,1820,17.3,IMD3,
,20,845,5,25,804,N/A,N/A,
,n78,3510,10,50,3510,N/A,N/A,
DC_3A_n20A-n78ADC_3A-3A_n20A-n78A,3,1730,5,25,1825,N/A,N/A,
,n20,845,5,25,804,N/A,N/A,
,n78,N/A,10,N/A,3420,16.1,IMD3,
DC_3A-20A_n78ADC_3C-20A_n78ADC_3A-20A_n78(2A),3,N/A,5,N/A,1820,17.3,IMD3,
,20,845,5,25,804,N/A,N/A,
,n78,3510,10,50,3510,N/A,N/A,
DC_3A-21A_n77ADC_3A-21A_n78A,3,1767.5,5,25,1862.5,N/A,N/A,
,21,N/A,5,N/A,1507.5,8.8,IMD4,
,"n77, n78",3795,10,50,3795,N/A,N/A,
,3,N/A,5,N/A,1862.5,30.8,IMD2,
,21,1459.5,5,25,1507.5,N/A,N/A,
,"n77, n78",3322,10,50,3322,N/A,N/A,
DC_3A-21A_n77A,3,N/A,5,N/A,1866.6,3.4,IMD5,
,21,1450.4,5,25,1498.4,N/A,N/A,
,n77,3935,10,50,3935,N/A,N/A,
DC_3A-21A_n79A,3,N/A,N/A,N/A,N/A,N/A,N/A,
,21,N/A,N/A,N/A,N/A,N/A,IMD3,
,n79,N/A,N/A,N/A,N/A,N/A,N/A,
,3,N/A,5,N/A,1869.2,17.8,IMD3,
,21,1450.4,5,25,1498.4,N/A,N/A,
,n79,4770,40,216,4770,N/A,N/A,
DC_3A-26A_n78ADC_3C-26A_n78A,3,N/A,5,N/A,1862,15.7,IMD3,
,26,839,5,25,884,N/A,N/A,
,n78,3540,10,50,3540,N/A,N/A,
DC_3A-28A_n1ADC_3C-28A_n1A,3,N/A,5,N/A,1820,4,IMD5,
,28,710,5,25,765,N/A,N/A,
,n1,1975,5,25,2165,N/A,N/A,
DC_3A-28A_n5ADC_3C-28A_n5A,3,N/A,5,N/A,1830,8.7,IMD4,
,28,705,5,25,760,N/A,N/A,
,n5,845,5,25,890,N/A,N/A,
,3,1750,5,25,1845,N/A,N/A,
,28,N/A,5,N/A,785,9.4,IMD4,
,n5,845,5,25,890,N/A,N/A,
DC_3A-28A_n7ADC_3C-28A_n7ADC_3A-3A-28A_n7ADC_3A-28A_n7BDC_3C-28A_n7BDC_3A-3A-28A_n7B,3,N/A,5,N/A,1832.5,26.0,IMD2,
,28,710.5,5,25,765.5,N/A,N/A,
,n7,2543,10,50,2663,N/A,N/A,
,3,1747,5,25,1842,N/A,N/A,
,28,N/A,5,N/A,796.0,20.0,IMD2,
,n7,2543,5,25,2663,N/A,N/A,
DC_3A-28A_n77ADC_3C-28A_n77(2A)DC_3A-28C_n77(2A)DC_3C-28C_n77(2A),3,1712.5,5,25,1807.5,N/A,N/A,
,28,N/A,5,N/A,770,15.3,IMD3,
,n77,4195,10,50,4195,N/A,N/A,
,3,N/A,5,N/A,1850,17.0,IMD3,
,28,735,5,25,790,N/A,N/A,
,n77,3320,10,50,3320,N/A,N/A,
DC_3A_n28A-n75ADC_3C_n28A-n75A,3,1780,5,25,1875,N/A,N/A,
,n28,708,5,25,763,N/A,N/A,
,n75,N/A,-,N/A,1436,3.3,IMD5,
DC_3A_n28A-n77ADC_3C_n28A-n77ADC_3C_n28A-n77(2A),3,1720,5,25,1815,N/A,N/A,
,n28,733,5,25,788,N/A,N/A,
,n77,N/A,10,N/A,4173,15.9,IMD3,
,3,1712.5,5,25,1807.5,N/A,N/A,
,n28,N/A,5,N/A,770,15.3,IMD3,
,n77,4195,10,50,4195,N/A,N/A,
DC_3A-28A_n38A,3,N/A,5,N/A,1870,26.0,IMD2,
,28,710,5,25,765,N/A,N/A,
,n38,2580,5,25,2580,N/A,N/A,
,3,1780,5,25,1875,N/A,N/A,
,28,N/A,5,N/A,800,20.0,IMD21,
,n38,2580,5,25,2580,N/A,N/A,
DC_3A-28A_n41A,3,1720,5,25,1815,N/A,N/A,
,n41,2510,10,50,2510,N/A,N/A,
,28,N/A,5,N/A,790,24.5,IMD21,
,3,N/A,5,N/A,1832.5,26.0,IMD2,
,n41,2543,10,50,2543,N/A,N/A,
,28,710.5,5,25,765.5,N/A,N/A,
DC_3A_n28A-n41A,3,1720,5,25,1815,N/A,N/A,
,n28,N/A,5,N/A,790,24.61,IMD2,
,n41,2510,10,50,2510,N/A,N/A,
,3,1780,5,25,1875,N/A,N/A,
,n28,738,5,25,793,N/A,N/A,
,n41,N/A,10,N/A,2518,25.4,IMD2,
,3,1715,5,25,1810,N/A,N/A,
,n28,743,5,25,798,N/A,N/A,
,n41,N/A,10,N/A,2687,13.9,IMD3,
DC_3A_n26A-n78A,3,1730,5,25,1825,N/A,N/A,
DC_3C_n26A-n78A,n26,839,5,25,884,N/A,N/A,
,n78,N/A,10,N/A,3408,16.1,IMD34,
DC_3A-28A_n78ADC_3C-28A_n78ADC_3A-3A-28A_n78A,3,N/A,5,N/A,1870,17.3,IMD3,
,28,740,5,25,760,N/A,N/A,
,n78,3350,10,25,3350,N/A,N/A,
DC_3A-28A_n79A,3,1770,5,25,1865,N/A,N/A,
,28,N/A,5,N/A,780,10.3,IMD4,
,n79,4530,40,216,4530,N/A,N/A,
,3,N/A,5,N/A,1870,5.7,IMD5,
,28,725,5,25,780,N/A,N/A,
,n79,4770,40,216,4770,N/A,N/A,
DC_3A_n28A-n78ADC_3C_n28A-n78A,3,1750,5,25,1845,N/A,N/A,
,n28,743,5,25,798,N/A,N/A,
,n78,N/A,10,N/A,3764,4.5,IMD5,
DC_3A_n28A-n79A,3,1770,5,25,1865,N/A,N/A,
,n28,N/A,5,N/A,780,10.3,IMD4,
,n79,4530,40,216,4530,N/A,N/A,
,3,1770,5,25,1865,N/A,N/A,
,n28,725,5,25,780,N/A,N/A,
,n79,N/A,40,N/A,4585,9.4,IMD44,
DC_3A-32A_n41A,3,1780,5,25,1875,N/A,N/A,
,32,N/A,5,N/A,1480,10.4,IMD4,
,n41,2520,10,50,2520,N/A,N/A,
DC_3A_n40A-n71A,3,1745,5,25,1840,N/A,N/A,
DC_3C_n40A-n71A,n40,2380,10,50,2380,N/A,N/A,
,n71,N/A,5,N/A,635,26.0,IMD2,
,3,1777.5,5,25,1872.5,N/A,N/A,
,n40,2350,10,50,2350,N/A,N/A,
,n71,N/A,5,N/A,632.5,4.5,IMD5,
,3,1720,5,25,1815,N/A,N/A,
,n40,N/A,10,N/A,2388,26.0,IMD2,
,n71,668,5,25,622,N/A,N/A,
DC_3A_n40A-n77A,3,1720,5,25,1815,N/A,N/A,
DC_3A_n40A-n77(2A),n40,2350,10,50,2350,N/A,N/A,
DC_3C_n40A-n77A,n77,N/A,10,N/A,4070,30.3,IMD2,
,3,1730,5,25,1825,N/A,N/A,
,n40,2360,10,50,2360,N/A,N/A,
,n77,N/A,10,N/A,3620,4.8,IMD5,
,3,1745,5,25,1840,N/A,N/A,
,n40,N/A,10,N/A,2355,"29,2",IMD2,
,n77,4100,10,50,4100,N/A,N/A,
,3,1720,5,25,1815,N/A,N/A,
,n40,N/A,10,N/A,2360,4.4,IMD5,
,n77,3760,10,50,3760,N/A,N/A,
DC_3A_SUL_n77A-n84A,3,1782.5,5,25,1877.5,N/A,N/A,
,n84,1922.5,5,25,N/A,N/A,N/A,
,n77,N/A,10,N/A,3425,13.0,IMD4,
DC_3A_n40A-n78A,3,1730,5,25,1825,N/A,N/A,
DC_3A_n40A-n78C,n40,2360,10,50,2360,N/A,N/A,
,n78,N/A,10,N/A,3620,4.8,IMD5,
,3,1720,5,25,1815,N/A,N/A,
,n40,N/A,10,N/A,2360,4.4,IMD5,
,n78,3760,10,50,3760,N/A,N/A,
DC_3A_n40A-n79A,3,1720,5,25,1815,N/A,N/A,
,n40,2330,10,50,2330,N/A,N/A,
,n79,N/A,40,N/A,4550,4.7,IMD5,
,3,1720,5,25,1815,N/A,N/A,
,n40,N/A,10,N/A,2330,3.2,IMD5,
,n79,4550,40,216,4550,N/A,N/A,
DC_3_n40-n105,3,1745,5,25,1840,N/A,N/A,
,n40,2380,10,50,2380,N/A,N/A,
,n105,N/A,5,N/A,635,26.0,IMD2,
,3,1777.5,5,25,1872.5,N/A,N/A,
,n40,2350,10,50,2350,N/A,N/A,
,n105,N/A,5,N/A,632.5,4.5,IMD5,
,3,1720,5,25,1815,N/A,N/A,
,n40,N/A,10,N/A,2388,26.0,IMD2,
,n105,668,5,25,617,N/A,N/A,
DC_3A_n41A-n79A,3,1770,5,25,1865,N/A,N/A,
,n41,2670,10,50,2670,N/A,N/A,
,n79,N/A,40,N/A,4440,30.8,IMD24,
DC_3A-42A_n1ADC_3A-42C_n1A,3,1782.5,5,25,1877.5,N/A,N/A,
,42,N/A,5,N/A,3425,13.0,IMD4,
,n1,1922.5,5,25,2112.5,N/A,N/A,
DC_3A_n71A-n77A,3,1730,5,25,1825,N/A,N/A,
DC_3C_n71A-n77A,n71,680,5,25,634,N/A,N/A,
,n77,N/A,10,N/A,4140,15.9,IMD31,
,3,1747,5,25,1842,N/A,N/A,
,n71,680,5,25,634,N/A,N/A,
,n77,N/A,10,N/A,3787,10.1,IMD4,
,3,1748,5,25,1843,N/A,N/A,
,n71,N/A,5,N/A,632,15.3,IMD3,
,n77,4128,10,50,4128,N/A,N/A,
DC_3A_n75A-n78ADC_3C_n75A-n78ADC_3A_n75A-n78(2A),3,1782.5,5,25,1877.5,N/A,N/A,
,n78,3305,10,50,3305,N/A,N/A,
,n75,N/A,-,N/A,1514.5,10.0,IMD2,
DC_3A_n78A-n79A,3,1770,5,25,1865,N/A,N/A,
DC_3A-3A_n78A-n79A,n78,3340,10,50,3340,N/A,N/A,
,n79,N/A,40,N/A,4910,16.3,IMD3,
,3,1770,5,25,1865,N/A,N/A,
,n79,4510,40,216,4510,N/A,N/A,
,n78,N/A,10,N/A,3710,4.2,IMD5,
DC_3A_SUL_n78A-n82A,3,N/A,5,N/A,1870,4,IMD4,
,n82,840,5,25,N/A,N/A,N/A,
DC_3A_SUL_n78A-n84A,3,1782.5,5,25,1877.5,N/A,N/A,
,n84,1922.5,5,25,N/A,N/A,N/A,
,n78,N/A,10,N/A,3425,13.0,IMD4,
DC_3A-32A_n1A,3,1720,5,25,1815,N/A,N/A,
DC_3C-32A_n1A,32,N/A,5,N/A,1480,15.2,"IMD34, 19",
,n1,1960,5,25,2150,N/A,N/A,
DC_3A-32A_n7A,3,1775,5,25,1870,N/A,N/A,
,32,N/A,5,N/A,1470,10.5,IMD4,
,n7,2510,10,50,2630,N/A,N/A,
DC_3A-32A_n78ADC_3C-32A_n78ADC_3A-32A_n78CDC_3A-32A_n78(2A),3,1730,5,25,1825,N/A,N/A,
,32,N/A,5,N/A,1470,4.9,IMD4,
,n78,3720,10,50,3720,N/A,N/A,
,3,1775,5,25,1870,N/A,N/A,
,32,N/A,5,N/A,1475,0,IMD5,
,n78,3400,10,50,3400,N/A,N/A,
DC_3A-38A_n28ADC_3C-38A_n28A,38,2575,5,25,2575,N/A,N/A,
,n28,725,5,25,780,N/A,N/A,
,3,N/A,5,N/A,1850,26,IMD2,
DC_3A-38A_n78ADC_3C-38A_n78A,3,N/A,5,N/A,1830,16.4,IMD35,
,38,2615,5,25,2615,N/A,N/A,
,n78,3400,10,50,3400,N/A,N/A,
DC_3A-40A_n1ADC_3A-40C_n1A,n1,1950,5,25,2140,N/A,N/A,
,3,1735,5,25,1830,N/A,N/A,
,40,N/A,5,N/A,2380,8.0,IMD5,
DC_3A-40A_n77ADC_3A-40C_n77A,3,1720,5,25,1815,N/A,N/A,
,40,2310,5,25,2310,29.4,IMD2,
,n77,4030,10,50,4030,N/A,N/A,
,3,1720,5,25,1815,N/A,N/A,
,40,2350,5,25,2350,5.3,IMD5,
,n77,3755,10,50,3755,N/A,N/A,
,3,1725,5,25,1820,29.9,IMD29,
,40,2310,5,25,2310,N/A,N/A,
,n77,4130,10,50,4130,N/A,N/A,
DC_3A-40A_n78ADC_3A-40C_n78A,3,N/A,5,N/A,1870,9.1,IMD4,
,40,2390,5,25,2390,N/A,N/A,
,n78,3325,10,50,3325,N/A,N/A,
,3,1720,5,25,1815,N/A,N/A,
,40,N/A,5,N/A,2360,4.4,IMD5,
,n78,3760,10,50,3760,N/A,N/A,
DC_3A-41A_n1ADC_3A-41C_n1ADC_3A-3A-41A_n1ADC_3A-3A-41C_n1A,n1,1977.5,5,25,2167.5,N/A,N/A,
,3,1712.5,5,25,1807.5,N/A,N/A,
,41,N/A,5,N/A,2507.5,5.0,IMD5,
DC_3A-41A_n3ADC_3A-41C_n3A,3,N/A,5,N/A,1865,8.2,IMD4|2*fB41-2*fn3|,
,41,2657.5,5,25,2657.5,N/A,N/A,
,n3,1725,5,25,1820,N/A,N/A,
DC_3A-41A_n28ADC_3A-41C_n28A,41,2543,10,50,2543,N/A,N/A,
,n28,710.5,5,25,765.5,N/A,N/A,
,3,N/A,5,N/A,1832.5,26,IMD2,
,3,1780,5,25,1875,N/A,N/A,
,n28,738,5,25,793,N/A,N/A,
,41,N/A,5,N/A,2518,27.4,IMD2,
,3,1715,5,25,1810,N/A,N/A,
,n28,743,5,25,798,N/A,N/A,
,41,N/A,5,N/A,2687,15.9,IMD3,
DC_3A-41A_n77ADC_3A-41C_n77ADC_3A-41A_n77(2A)DC_3A-41C_n77(2A)DC_3A_n41A-n77ADC_3A_n41A-n77(2A),3,1720,5,25,1815,N/A,N/A,
,n77,3900,10,50,3900,N/A,N/A,
,41/n41,N/A,10,N/A,2640,4.8,IMD5,
,41/n41,2620,10,50,2620,N/A,N/A,
,n77,3400,10,50,3400,N/A,N/A,
,3,N/A,5,N/A,1840,14.9,IMD3,
DC_3A-41A_n78ADC_3A-41C_n78ADC_3A-41A_n78(2A)DC_3A-41C_n78(2A),41,2620,5,25,2620,N/A,N/A,
,n78,3400,10,50,3400,N/A,N/A,
,3,N/A,5,N/A,1840,16.4,IMD3,
DC_3A_n41A-n78ADC_3A_n41A-n78(2A),3,1730,5,25,1825,N/A,N/A,
,n41,2560,10,50,2560,N/A,N/A,
,n78,N/A,10,N/A,3390,16.4,IMD3,
DC_3A-41A_n79A,3,1770,5,25,1865,N/A,N/A,
,n79,4440,40,216,4440,N/A,N/A,
,41,N/A,5,N/A,2670,30.2,IMD2,
,41,2570,5,25,2570,N/A,N/A,
,n79,4420,40,216,4420,N/A,N/A,
,3,N/A,5,N/A,1850,29.4,IMD2,
DC_3A_n71A-n78A,3,1730,5,25,1825,N/A,N/A,
,n71,666,5,25,620,N/A,N/A,
,n78,N/A,10,N/A,3728,13.0,IMD4,
,3,1715,5,25,1810,N/A,N/A,
,n71,685,5,25,639,N/A,N/A,
,n78,N/A,10,N/A,3775,3.8,IMD5,
DC_3_n78-n105,3,1715,5,25,1810,N/A,N/A,
,n78,N/A,10,N/A,3725,13,IMD44,
,n105,670,5,25,619,N/A,N/A,
DC_4A-5A_n78A,4,N/A,5,N/A,2122,18.1,IMD3,
,5,829,5,25,874,N/A,N/A,
,n78,3780,10,50,3780,N/A,N/A,
DC_4A-7A_n28A,4,1715,5,25,2115,N/A,N/A,
,7,N/A,5,N/A,2685,18.0,IMD3,
,n28,745,5,25,800,N/A,N/A,
DC_4A-7A_n78A,4,N/A,5,N/A,2150,8.7,IMD4,
,7,2550,5,25,2670,N/A,N/A,
,n78,3625,10,50,3625,N/A,N/A,
DC_5A_n1A-n78A,5,829,5,25,874,N/A,N/A,
,n1,N/A,5,N/A,2122,18.1,IMD3,
,n78,3780,10,50,3780,N/A,N/A,
,5,830,5,25,875,N/A,N/A,
,n1,1950,5,25,2140,N/A,N/A,
,n78,N/A,10,N/A,3610,15.7,IMD3,
DC_5A_n1A-n28A,5,829,5,25,874,N/A,N/A,
,n1,N/A,5,N/A,2123,4,IMD5,
,n28,738,5,25,793,N/A,N/A,
DC_5A_n2A-n7A,5,830,5,25,875,N/A,N/A,
,n2,1855,5,25,1935,N/A,N/A,
,n7,N/A,5,N/A,2685,30.0,IMD2,
DC_5A_n2A-n41A,5,830,5,25,875,N/A,N/A,
,n2,1855,10,50,1935,N/A,N/A,
,n41,2685,10,50,2685,30.0,IMD2,
DC_5A_n2A-n66A,5,830,5,25,875,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
,n66,1740,5,25,2140,7.2,IMD4,
DC_5A_n2A-n77A11,n2,N/A,5,N/A,1987,16.5,IMD3,
,5,846.5,5,25,891.5,N/A,N/A,
,n77,3680,10,50,3680,N/A,N/A,
DC_5A_n3A-n28A,5,845,5,25,890,N/A,N/A,
,n3,N/A,5,N/A,1829.5,8.7,IMD4,
,n28,705.5,5,25,760.5,N/A,N/A,
,5,827,5,25,872,N/A,N/A,
,n3,1713,5,25,1808,N/A,N/A,
,n28,N/A,5,N/A,768,9.4,IMD4,
DC_5A_n5A-n77A11,5,834,5,25,879,N/A,N/A,
,n5,N/A,5,N/A,889,8.3,IMD4,
,n77,3391,10,50,3391,N/A,N/A,
,5,826.5,5,25,871.5,N/A,N/A,
,n5,N/A,5,N/A,882,5.5,IMD5,
,n77,4188,10,50,4188,N/A,N/A,
DC_5A-7A_n7A,5,N/A,5,N/A,879,12,IMD34,
,7,2527,10,50,2647,N/A,N/A,
,n7,2547,10,50,2667,N/A,N/A,
DC_5A_n2A-n78A,5,830,5,25,875,N/A,N/A,
,n2,1880,5,25,1960,N/A,N/A,
,n78,N/A,10,N/A,3540,16.0,IMD3,
,5,846.5,5,25,891.5,N/A,N/A,
,n2,N/A,5,N/A,1987,16.5,IMD3,
,n78,3680,10,25,3680,N/A,N/A,
DC_5A_n3A-n78A,5,839,5,25,884,N/A,N/A,
,n3,1730,5,25,1825,N/A,N/A,
,n78,N/A,10,N/A,3408,16.1,IMD34,
,5,839,5,25,884,N/A,N/A,
,n3,N/A,5,N/A,1862,15.7,IMD3,
,n78,3540,10,50,3540,N/A,N/A,
DC_5A-7A_n1ADC_5A-7A-7A_n1A,5,N/A,5,N/A,880,1.0,IMD5,
,7,2512,10,50,2632,N/A,N/A,
,n1,1968,5,25,2158,N/A,N/A,
DC_5A-7A_n3A,5,845,5,25,890,N/A,N/A,
,7,N/A,10,N/A,2625,30.0,IMD2,
,n3,1780,5,25,1875,N/A,N/A,
,5,826.5,5,25,871.5,N/A,N/A,
,7,N/A,5,N/A,2687.5,17.0,IMD3,
,n3,1757,5,25,1852,N/A,N/A,
,5,N/A,5,N/A,880,19.0,IMD3,
,7,2560,10,50,2680,N/A,N/A,
,n3,1720,5,25,1815,N/A,N/A,
DC_5A-7A_n25A,5,830,5,25,875,N/A,N/A,
,7,2565,5,25,2685,30.0,IMD2,
,n25,1855,5,25,1935,N/A,N/A,
DC_5A_n7A-n25A,5,830,5,25,875,N/A,N/A,
,n7,N/A,5,N/A,2685,30.0,IMD2,
,n25,1855,5,25,1935,N/A,N/A,
DC_5A-7A_n28A,5,842,5,25,887,N/A,N/A,
DC_5A-7A-7A_n28A,7,N/A,5,N/A,2640,5.9,IMD5,
,n28,728,5,25,783,N/A,N/A,
DC_5A-7A_n66ADC_5A-7C_n66ADC_5A-7A-7A_n66A,5,N/A,5,N/A,880,17.8,IMD3,
,7,2560,5,25,2680,N/A,N/A,
,n66,1720,5,25,2120,N/A,N/A,
,5,846.5,5,25,891.5,N/A,N/A,
,7,N/A,5,N/A,2624,29.0,IMD21,
,n66,1777.5,5,25,2177.5,N/A,N/A,
DC_5A_n7A-n66A,5,846.5,5,25,891.5,N/A,N/A,
,n7,N/A,5,N/A,2624,29.0,IMD2,
,n66,1777.5,5,25,2177.5,N/A,N/A,
,5,830,5,25,875,N/A,N/A,
,n7,N/A,5,N/A,2670,13,IMD3,
,n66,1750,5,25,2150,N/A,N/A,
DC_5A-7A_n71A,5,835,5,25,880,N/A,N/A,
,7,N/A,5,N/A,2660,6.5,IMD5,
,n71,680,5,25,634,N/A,N/A,
,5,844,5,25,889,N/A,N/A,
DC_5A-7A_n77A,7,N/A,5,N/A,2645,30.1,IMD2,
DC_5A-7A_n77(2A)DC_5A-7A_n77(3A),n77,3489,10,50,3489,N/A,N/A,
DC_5A-7A-7A_n77A,5,N/A,5,N/A,879,30.2,IMD21,
DC_5A-7A-7A_n77(2A)DC_5A-7A-7A_n77(3A),7,2550,5,25,2670,N/A,N/A,
,n77,3429,10,50,3429,N/A,N/A,
DC_5A_n7A-n77A,5,844,5,25,889,N/A,N/A,
,n7,N/A,5,N/A,2645,30.1,IMD2,
,n77,3489,10,50,3489,N/A,N/A,
,5,835,5,25,880,N/A,N/A,
,n7,2540,5,25,2660,N/A,N/A,
,n77,N/A,10,N/A,3375,29.7,IMD2,
,5,829,5,25,885,N/A,N/A,
