Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n29,N/A,5,N/A,720,9.4,SDL,IMD4
,n66,1770,5,25,2170,N/A,FDD,N/A
CA_n5-n29-n77,n5,845,5,25,890,N/A,FDD,N/A
,n29,N/A,5,N/A,720,4.4,SDL,IMD55
,n77,4100,10,50,4100,N/A,TDD,N/A
CA_n5-n30-n66,n5,830,5,25,875,N/A,FDD,N/A
,n30,2307.5,5,25,2352.5,N/A,FDD,N/A
,n66,N/A,5,N/A,2125,4,FDD,IMD5
CA_n5-n30-n77,n5,N/A,5,N/A,880,15.2,FDD,IMD31
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,3740,10,50,3740,N/A,TDD,N/A
,n5,835,5,25,880,N/A,FDD,N/A
,n30,N/A,5,N/A,2355,13.2,FDD,IMD35
,n77,4025,10,50,4025,N/A,TDD,N/A
,n5,840,5,25,885,N/A,FDD,N/A
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,N/A,10,N/A,3780,16.1,TDD,IMD3
CA_n5-n40-n78,n5,N/A,5,N/A,880,15.2,FDD,IMD3
,n40,2310,10,50,2310,N/A,TDD,N/A
,n78,3740,10,50,3740,N/A,TDD,N/A
,n5,840,5,25,885,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n78,N/A,10,N/A,3780,16.1,TDD,IMD3
CA_n5-n40-n105,n5,836.5,5,25,881.5,N/A,FDD,N/A
,n40,2305,10,50,2305,N/A,TDD,N/A
,n105,N/A,5,N/A,632,17,FDD,IMD3
,n5,836.5,5,25,881.5,N/A,FDD,N/A
,n40,N/A,10,N/A,2356,18.8,TDD,IMD3
,n105,683,5,25,632,N/A,FDD,NA
CA_n5-n41-n66,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n41,N/A,10,N/A,2624,29.0,TDD,IMD24
,n66,1777.5,5,25,2177.5,N/A,FDD,N/A
,n5,N/A,5,N/A,875,28.9,FDD,IMD24
,n41,2640,10,50,2640,N/A,TDD,N/A
,n66,1765,5,25,2165,N/A,FDD,N/A
CA_n5-n41-n77,n5,835,5,25,880,N/A,FDD,N/A
,n41,2540,10,50,2540,N/A,TDD,N/A
,n77,N/A,10,N/A,3375,28.2,TDD,IMD22
,n5,840,5,25,885,N/A,FDD,N/A
,n41,2510,10,50,2510,N/A,TDD,N/A
,n77,N/A,10,N/A,4180,14.6,TDD,IMD3
,n5,844,5,25,889,N/A,FDD,N/A
,n41,N/A,10,N/A,2645,28.1,TDD,IMD2
,n77,3489,10,50,3489,N/A,TDD,N/A
,n5,835,5,25,880,N/A,FDD,N/A
,n41,N/A,10,N/A,2510,11.2,FDD,IMD3
,n77,4180,10,50,4180,N/A,TDD,N/A
,n5,N/A,5,N/A,879,28.7,FDD,IMD2
,n41,2550,10,50,2550,N/A,TDD,N/A
,n77,3429,10,50,3429,N/A,TDD,N/A
,n5,N/A,5,N/A,880,13.7,FDD,IMD31
,n41,2510,10,50,2510,N/A,TDD,N/A
,n77,4140,10,50,4140,N/A,TDD,N/A
CA_n5-n48-n66,n5,829,5,25,874,N/A,FDD,N/A
,n48,N/A,10,N/A,3622,3.6,TDD,IMD5
,n66,1760,5,25,2160,N/A,FDD,N/A
CA_n5-n66-n77,n5,845,5,25,890,N/A,FDD,N/A
,n66,1775,5,25,2175,N/A,FDD,N/A
,n77,N/A,10,N/A,3465,16.1,TDD,IMD31
,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
,n77,N/A,10,N/A,4192,8.2,TDD,IMD45
,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n66,N/A,5,N/A,2142,13.2,FDD,IMD3
,n77,3795,10,50,3795,N/A,TDD,N/A
CA_n5-n66-n78,n5,830,5,25,875,N/A,FDD,N/A
,n66,1720,5,25,2120,N/A,FDD,N/A
,n78,N/A,10,N/A,3380,16.1,TDD,IMD3
,n5,830,5,25,875,N/A,FDD,N/A
,n66,N/A,5,N/A,2120,13.2,FDD,IMD3
,n78,3780,10,50,3780,N/A,TDD,N/A
CA_n5-n78-n79,n5,846,5,25,891,N/A,FDD,N/A
,n78,3790,10,50,3790,N/A,TDD,N/A
,n79,N/A,40,N/A,4636,26.2,TDD,IMD2
,n5,827,5,25,872,N/A,FDD,N/A
,n78,3305,10,50,3305,N/A,TDD,N/A
,n79,N/A,40,N/A,4959,22,TDD,IMD3
,n5,827,5,25,872,N/A,FDD,N/A
,n78,N/A,10,N/A,3593,26.9,TDD,IMD2
,n79,4420,40,216,4420,N/A,TDD,N/A
,n5,827,5,25,872,N/A,FDD,N/A
,n78,N/A,10,N/A,3326,17,TDD,IMD3
,n79,4980,40,216,4980,N/A,TDD,N/A
,n5,N/A,5,N/A,880,16.2,FDD,IMD2
,n78,3550,10,50,3550,N/A,TDD,N/A
,n79,4430,40,216,4430,N/A,TDD,N/A
,n5,N/A,5,N/A,875,3,FDD,IMD5
,n78,3305,10,50,3305,N/A,TDD,N/A
,n79,4520,40,216,4520,N/A,TDD,N/A
CA_n5-n78-n105,n5,836.5,5,25,881.5,N/A,FDD,N/A
,n78,N/A,10,N/A,3568.5,4,TDD,IMD5
,n105,683,5,25,632,N/A,FDD,N/A
,n5,N/A,5,N/A,881.5,3.8,FDD,IMD5
,n78,3613.5,10,50,3613.5,N/A,TDD,N/A
,n105,683,5,25,632,N/A,FDD,N/A
CA_n7-n8-n40,n7,2530,5,25,2650,N/A,FDD,N/A
,n8,905,5,25,950,N/A,FDD,N/A
,n40,N/A,10,N/A,2345,3.0,TDD,IMD5
CA_n7-n8-n78,n7,2555,5,25,2675,N/A,FDD,N/A
,n8,900,5,25,945,N/A,FDD,N/A
,n78,N/A,10,N/A,3455,28.5,TDD,IMD22
,n7,2555,5,25,2675,N/A,FDD,N/A
,n8,N/A,5,N/A,945,29.7,FDD,IMD2
,n78,3500,10,50,3500,N/A,TDD,N/A
,n7,2520,5,25,2640,N/A,FDD,N/A
,n8,N/A,5,N/A,940,3.1,FDD,IMD5
,n78,3310,10,50,3310,N/A,TDD,N/A
,n7,N/A,5,N/A,2650,28,FDD,IMD2
,n8,895,5,25,940,N/A,FDD,N/A
,n78,3545,10,50,3545,N/A,TDD,N/A
CA_n7-n20-n28,n7,N/A,5,N/A,2640,5.9,FDD,IMD5
,n20,842,5,25,801,N/A,FDD,N/A
,n28,728,5,25,783,N/A,FDD,N/A
,n7,2505,5,25,2625,N/A,FDD,N/A
,n20,859,5,25,818,N/A,FDD,N/A
,n28,N/A,5,N/A,787,17.4,FDD,IMD31
CA_n7-n20-n67,n7,2565,10,50,2685,N/A,TDD,N/A
,n20,834.5,5,25,793.5,N/A,FDD,N/A
,n67,N/A,5,N/A,773,3.9,FDD,IMD5
CA_n7-n20-n78,n7,2560,5,25,2680,N/A,FDD,N/A
,n20,N/A,5,N/A,810,30.5,FDD,IMD21
,n78,3370,10,50,3370,N/A,TDD,N/A
,n7,2560,5,25,2680,N/A,FDD,N/A
,n20,N/A,5,N/A,810,3.0,FDD,IMD5
,n78,3435,10,50,3435,N/A,TDD,N/A
,n7,N/A,5,N/A,2675,30.8,FDD,IMD2
,n20,845,5,25,804,N/A,FDD,N/A
,n78,3520,10,50,3520,N/A,TDD,N/A
,n7,2540,5,25,2660,N/A,FDD,N/A
,n20,835,5,25,794,N/A,FDD,N/A
,n78,N/A,10,N/A,3375,29.7,TDD,IMD22
CA_n7-n25-n29,n7,2567.5,5,25,2687.5,N/A,FDD,N/A
,n25,1852.5,5,25,1932.5,N/A,FDD,N/A
,n29,N/A,5,N/A,719.5,26,SDL,IMD2
,n7,2503,5,25,2623,N/A,FDD,N/A
,n25,1910,5,25,1990,N/A,FDD,N/A
,n29,N/A,5,N/A,724,4.5,SDL,IMD5
CA_n7-n25-n77,n7,N/A,5,N/A,2640,5.3,FDD,IMD5
,n25,1870,5,25,1950,N/A,FDD,N/A
,n77,4125,10,50,4125,N/A,TDD,N/A
,n7,2550,5,25,2670,N/A,FDD,N/A
,n25,N/A,5,N/A,1950,8.6,FDD,IMD4
,n77,3525,10,50,3525,N/A,TDD,N/A
,n7,2520,5,25,2640,N/A,FDD,N/A
,n25,1905,5,25,1985,N/A,FDD,N/A
,n77,N/A,10,N/A,3750,4.5,TDD,IMD5
CA_n7-n25-n78,n7,2550,5,25,2670,N/A,FDD,N/A
,n25,N/A,5,N/A,1950,8.6,FDD,IMD4
,n78,3525,10,50,3525,N/A,TDD,N/A
,n7,2520,5,25,2640,N/A,FDD,N/A
,n25,1905,5,25,1985,N/A,FDD,N/A
,n78,N/A,10,N/A,3750,4.5,TDD,IMD5
CA_n7-n26-n78,n7,2550,5,25,2670,N/A,FDD,N/A
,n26,N/A,5,N/A,879,30.2,FDD,IMD2
,n78,3429,10,50,3429,N/A,TDD,N/A
,n7,2525,5,25,2645,N/A,FDD,N/A
,n26,N/A,5,N/A,875,3.3,FDD,IMD5
,n78,3350,10,50,3350,N/A,TDD,N/A
,n7,N/A,5,N/A,2645,30.1,FDD,IMD2
,n26,844,5,25,889,N/A,FDD,N/A
,n78,3489,10,50,3489,N/A,TDD,N/A
,n7,2540,5,25,2660,N/A,FDD,N/A
,n26,835,5,25,880,N/A,FDD,N/A
,n78,N/A,10,N/A,3375,29.7,TDD,IMD2
CA_n7-n28-n40,n7,N/A,5,N/A,2630,5.9,FDD,IMD5
,n28,743,5,25,798,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
CA_n7-n28-n78,n7,2567.5,5,25,2687.5,N/A,FDD,N/A
,n28,N/A,5,N/A,782.5,28.8,FDD,IMD2
,n78,3350,10,50,3350,N/A,TDD,N/A
,n7,2567.5,5,25,2687.5,N/A,FDD,N/A
,n28,N/A,5,N/A,782.5,3.0,FDD,IMD5
,n78,3460,10,50,3460,N/A,TDD,N/A
,n7,N/A,5,N/A,2650,30.5,FDD,IMD2
,n28,740,5,25,795,N/A,FDD,N/A
,n78,3390,10,50,3390,N/A,TDD,N/A
,n7,2565,5,25,2685,N/A,FDD,N/A
,n28,745,5,25,800,N/A,FDD,N/A
,n78,N/A,10,N/A,3310,29.7,TDD,IMD22
CA_n7-n29-n66,n7,2502.5,5,25,2622.5,N/A,FDD,N/A
,n29,N/A,5,N/A,725,31,SDL,IMD2
,n66,1777.5,5,25,2197.5,N/A,FDD,N/A
CA_n7-n29-n77,n7,2540,5,25,2660,N/A,FDD,N/A
,n29,N/A,5,N/A,720,3.0,SDL,IMD5
,n77,3450,10,50,3450,N/A,TDD,N/A
CA_n7-n40-n78,n7,N/A,5,N/A,2630,10.1,FDD,IMD4
,n40,2310,10,50,2310,N/A,TDD,N/A
,n78,3625,10,50,3625,N/A,TDD,N/A
,n7,2510,5,25,2630,N/A,FDD,N/A
,n40,N/A,10,N/A,2310,8.7,TDD,IMD4
,n78,3785,10,50,3785,N/A,TDD,N/A
CA_n7-n40-n79,n7,2520,5,25,2640,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n79,N/A,10,N/A,4830,30.5,TDD,IMD22
,n7,2530,5,25,2650,N/A,FDD,N/A
,n40,N/A,10,N/A,2320,25,TDD,IMD2
,n79,4850,10,50,4850,N/A,FDD,N/A
,n7,2510,5,25,2630,N/A,FDD,N/A
,n40,N/A,10,N/A,2370,6,TDD,IMD5
,n79,4950,10,50,4950,N/A,FDD,N/A
,n7,N/A,5,N/A,2630,29.4,FDD,IMD2
,n40,2320,10,50,2320,N/A,TDD,N/A
,n79,4950,10,50,4950,N/A,TDD,N/A
,n7,N/A,5,N/A,2650,3,FDD,IMD5
,n40,2350,10,50,2350,N/A,TDD,N/A
,n79,4850,10,50,4850,N/A,TDD,N/A
CA_n7-n40-n105,n7,N/A,5,N/A,2655,5.9,FDD,IMD5
,n40,2352,10,50,2352,N/A,TDD,N/A
,n105,683,5,25,632,N/A,FDD,N/A
CA_n7-n46-n78,n7,2530,5,25,2650,N/A,FDD,N/A
,n46,5840,20,100,5840,N/A,TDD,N/A
,n78,N/A,10,N/A,3310,29.7,TDD,IMD21
,n7,2530,5,25,2650,N/A,FDD,N/A
,n46,N/A,20,N/A,5840,25.2,TDD,IMD21
,n78,3310,10,50,3310,N/A,TDD,N/A
CA_n7-n66-n77,n7,2560,5,25,2680,N/A,FDD,N/A
,n66,1730,5,25,2130,N/A,FDD,N/A
,n77,N/A,10,N/A,3390,16.1,TDD,IMD31
,n7,2550,5,25,2670,N/A,FDD,N/A
,n66,N/A,5,N/A,2150,8.7,FDD,IMD4
,n77,3625,10,50,3625,N/A,TDD,N/A
,n7,N/A,5,N/A,2640,3.4,FDD,IMD5
,n66,1720,5,25,2120,N/A,FDD,N/A
,n77,3900,10,50,3900,N/A,TDD,N/A
CA_n7-n66-n78,n7,2560,5,25,2680,N/A,FDD,N/A
,n66,1730,5,25,2130,N/A,FDD,N/A
,n78,N/A,10,N/A,3390,16.1,TDD,IMD3
,n7,2550,5,25,2670,N/A,FDD,N/A
,n66,N/A,5,N/A,2150,8.7,FDD,IMD4
,n78,3625,10,50,3625,N/A,TDD,N/A
CA_n7-n67-n78,n7,2562,5,25,2682,N/A,FDD,N/A
,n67,N/A,5,N/A,748,28.8,SDL,IMD21
,n78,3310,10,50,3310,N/A,TDD,N/A
CA_n7-n71-n77,n7,2505,5,25,2625,N/A,FDD,N/A
,n71,666,5,25,620,N/A,FDD,N/A
,n77,N/A,10,N/A,3837,16.0,TDD,IMD3
,n7,N/A,5,N/A,2670,29.6,FDD,IMD2
,n71,680,5,25,634,N/A,FDD,N/A
,n77,3350,10,50,3350,N/A,TDD,N/A
CA_n7-n75-n78,n7,2510,5,25,2630,N/A,FDD,N/A
,n75,N/A,5,N/A,1470,16,SDL,IMD3
,n78,3550,10,50,3550,N/A,TDD,N/A
,n7,2560,5,25,2680,N/A,FDD,N/A
,n75,N/A,5,N/A,1500,10.5,SDL,IMD4
,n78,3310,10,50,3310,N/A,TDD,N/A
CA_n7-n78-n79,n7,2550,5,25,2670,N/A,FDD,N/A
,n78,3500,10,50,3500,N/A,TDD,N/A
,n79,N/A,10,N/A,4450,20.6,TDD,IMD31
,n7,2567.5,5,25,2687.5,N/A,FDD,N/A
,n78,3302.5,10,50,3302.5,N/A,TDD,N/A
,n79,N/A,10,N/A,4400,14,TDD,IMD4
,n7,2525,5,25,2645,N/A,FDD,N/A
,n78,N/A,10,N/A,3760,6.4,TDD,IMD4
,n79,4405,10,50,4405,N/A,TDD,N/A
,n7,N/A,5,N/A,1860,19,FDD,IMD3
,n78,3320,10,50,3320,N/A,TDD,N/A
,n79,4780,10,50,4780,N/A,TDD,N/A
,n7,N/A,5,N/A,2660,8,FDD,IMD4
,n78,3500,10,50,3500,N/A,TDD,N/A
,n79,4830,10,50,4830,N/A,TDD,N/A
CA_n7-n78-n102,n7,2560,5,25,2680,N/A,FDD,N/A
,n78,3420,5,25,3420,N/A,TDD,N/A
,n102,N/A,40,N/A,5980,N/A12,TDD,IMD21
,n7,2560,5,25,2680,N/A,FDD,N/A
,n78,N/A,5,N/A,3420,29.6,TDD,IMD21
,n102,5980,40,216,5980,N/A,TDD,N/A
,n7,N/A,5,N/A,2680,29.6,FDD,IMD21
,n78,3320,5,25,3320,N/A,TDD,N/A
,n102,6000,40,216,6000,N/A,TDD,N/A
CA_n7-n78-n105,n7,2555,5,25,2675,N/A,FDD,N/A
,n78,3520,10,50,3520,N/A,TDD,N/A
,n105,N/A,5,N/A,625,3.9,FDD,IMD5
,n7,2550,5,25,2670,N/A,FDD,N/A
,n78,N/A,10,N/A,3714,9.7,TDD,IMD4
,n105,693,5,25,642,N/A,FDD,N/A
,n7,N/A,5,N/A,2625,28.7,FDD,IMD2
,n78,3308,10,50,3308,N/A,TDD,N/A
,n105,683,5,25,632,N/A,FDD,N/A
CA_n8-n20-n28,n8,N/A,5,25,951.5,24.3,FDD,IMD3
,n20,834.5,5,25,793.5,N/A,FDD,N/A
,n28,717.5,5,25,772.5,N/A,FDD,N/A
,n8,887.5,5,25,932.5,N/A,FDD,N/A
,n20,834.5,5,25,793.5,N/A,FDD,N/A
,n28,N/A,5,25,781.5,24,FDD,IMD3
CA_n8-n28-n40,n8,N/A,5,N/A,928,17.0,FDD,IMD3
,n28,706,5,25,761,N/A,FDD,N/A
,n40,2340,10,50,2340,N/A,TDD,N/A
,n8,910,5,25,955,N/A,FDD,N/A
,n28,706,5,25,761,N/A,FDD,N/A
,n40,N/A,10,N/A,2322,18.8,TDD,IMD3
CA_n8-n28-n77,n8,N/A,5,N/A,928,3.8,FDD,IMD5
,n28,743,5,25,798,N/A,FDD,N/A
,n77,3900,10,50,3900,N/A,TDD,N/A
,n8,883,5,25,928,N/A,FDD,N/A
,n28,N/A,5,N/A,761,11.6,FDD,IMD4
,n77,3410,10,50,3410,N/A,TDD,N/A
,n8,883,5,25,928,N/A,FDD,N/A
,n28,745,5,25,800,N/A,FDD,N/A
,n77,N/A,10,N/A,3394,10.3,TDD,IMD4
,n8,883,5,25,928,N/A,FDD,N/A
,n28,745,5,25,800,N/A,FDD,N/A
,n77,N/A,10,N/A,3863,4.0,TDD,IMD5
CA_n8-n39-n40,n8,N/A,5,N/A,940,8.6,FDD,IMD4
,n39,1920,5,25,1920,N/A,TDD,N/A
,n40,2370,10,50,2370,N/A,TDD,N/A
,n8,N/A,5,N/A,950,4.3,FDD,IMD5
,n39,1910,5,25,1910,N/A,TDD,N/A
,n40,2390,10,50,2390,N/A,TDD,N/A
,n8,905,5,25,950,N/A,FDD,N/A
,n39,N/A,5,N/A,1905,3.5,TDD,IMD5
,n40,2310,10,50,2310,N/A,TDD,N/A
CA_n8-n39-n79,n8,900,5,25,945,N/A,FDD,N/A
,n39,1890,10,50,1890,N/A,TDD,N/A
,n79,N/A,40,N/A,4680,15.9,TDD,IMD3
,n8,890,5,25,935,N/A,FDD,N/A
,n39,1890,10,50,1890,N/A,TDD,N/A
,n79,N/A,40,N/A,4560,12.1,TDD,IMD4
,n8,897.5,5,25,942.5,N/A,FDD,N/A
,n39,N/A,10,N/A,1907.5,13.8,TDD,IMD4
,n79,4600,40,216,4600,N/A,TDD,N/A
,n8,N/A,5,N/A,940,15.1,FDD,IMD3
,n39,1900,10,50,1900,N/A,TDD,N/A
,n79,4740,40,216,4740,N/A,TDD,N/A
,n8,N/A,5,N/A,940,7.1,FDD,IMD4
,n39,1900,10,50,1900,N/A,TDD,N/A
,n79,4750,40,216,4750,N/A,TDD,N/A
CA_n8-n40-n41,n8,895,5,25,940,N/A,FDD,N/A
,n40,2355,10,50,2355,4.9,TDD,IMD5
,n41,N/A,10,N/A,2520,N/A,TDD,N/A
CA_n8-n40-n77,n8,N/A,5,N/A,950,30.5,FDD,IMD21
,n40,2380,10,50,2380,N/A,TDD,N/A
,n77,3330,10,50,3330,N/A,TDD,N/A
,n8,N/A,5,N/A,935,19.8,FDD,IMD31
,n40,2320,10,50,2320,N/A,TDD,N/A
,n77,3705,10,50,3705,N/A,TDD,N/A
,n8,910,5,25,955,N/A,FDD,N/A
,n40,N/A,10,N/A,2395,28,TDD,IMD2
,n77,3305,10,50,3305,N/A,TDD,N/A
,n8,910,5,25,955,N/A,FDD,N/A
,n40,N/A,10,N/A,2330,13.2,TDD,IMD3
,n77,4150,10,50,4150,N/A,TDD,N/A
,n8,910,5,25,955,N/A,FDD,N/A
,n40,2395,10,50,2395,N/A,TDD,N/A
,n77,N/A,10,N/A,3305,28.8,TDD,IMD2
,n8,910,5,25,955,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n77,N/A,10,N/A,4130,16.1,TDD,IMD3
CA_n8-n40-n78,n8,N/A,5,N/A,950,30.5,FDD,IMD2
,n40,2380,10,50,2380,N/A,TDD,N/A
,n78,3330,10,50,3330,N/A,TDD,N/A
,n8,N/A,5,N/A,935,19.8,FDD,IMD3
,n40,2320,10,50,2320,N/A,TDD,N/A
,n78,3705,10,50,3705,N/A,TDD,N/A
,n8,910,5,25,955,N/A,FDD,N/A
,n40,N/A,10,N/A,2395,28,TDD,IMD2
,n78,3305,10,50,3305,N/A,TDD,N/A
,n8,910,5,25,955,N/A,FDD,N/A
,n40,2395,10,50,2395,N/A,TDD,N/A
,n78,N/A,10,N/A,3305,28.8,TDD,IMD24
,n8,890,5,25,935,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n78,N/A,10,N/A,3730,16.8,TDD,IMD3
CA_n8-n40-n79,n8,885,5,25,930,N/A,FDD,N/A
,n40,2305,10,50,2305,N/A,TDD,N/A
,n79,N/A,40,N/A,4960,10.7,TDD,IMD4
,n8,885,5,25,930,N/A,FDD,N/A
,n40,N/A,10,N/A,2305,9.2,TDD,IMD4
,n79,4960,40,216,4960,N/A,TDD,N/A
CA_n8-n41-n78,n8,N/A,10,N/A,950,29.1,FDD,IMD2
,n41,2630,10,50,N/A,N/A,TDD,N/A
,n78,3580,10,50,N/A,N/A,TDD,N/A
,n8,N/A,10,N/A,940,4.0,FDD,IMD5
,n41,2680,10,50,N/A,N/A,TDD,N/A
,n78,3550,10,50,N/A,N/A,TDD,N/A
,n8,895,5,25,940,N/A,FDD,N/A
,n41,N/A,10,N/A,2650,28.0,TDD,IMD2
,n78,3545,10,50,N/A,N/A,TDD,N/A
,n8,900,5,25,945,N/A,FDD,N/A
,n41,2555,10,50,N/A,N/A,TDD,N/A
,n78,N/A,10,N/A,3455,28.5,TDD,IMD22
CA_n8-n41-n79,n8,910,5,25,955,N/A,FDD,N/A
,n41,2650,10,50,2650,N/A,TDD,N/A
,n79,4470,10,50,4470,16.3,TDD,IMD3
,n8,910,5,25,955,N/A,FDD,N/A
,n41,2650,10,50,2650,15.5,TDD,IMD3
,n79,4470,10,50,4470,N/A,TDD,N/A
,n8,895,5,25,940,11.8,FDD,IMD31
,n41,2680,10,50,2680,N/A,TDD,N/A
,n79,4420,10,50,4420,N/A,TDD,N/A
CA_n8-n78-n79,n8,900,5,25,945,N/A,FDD,N/A
,n78,3700,10,50,3700,N/A,TDD,N/A
,n79,N/A,10,N/A,4600,25,TDD,IMD22
,n8,900,5,25,945,N/A,FDD,N/A
,n78,3700,10,50,3700,N/A,TDD,N/A
,n79,N/A,10,N/A,4700,2,TDD,IMD5
,n8,827,5,25,872,N/A,FDD,N/A
,n78,N/A,10,N/A,3593,25,TDD,IMD2
,n79,4420,40,216,4420,N/A,TDD,N/A
,n8,N/A,5,N/A,930,20.3,FDD,IMD2
,n78,3600,10,50,3600,N/A,TDD,N/A
,n79,4530,40,216,4530,N/A,TDD,N/A
,n8,N/A,5,N/A,940,3,FDD,IMD5
,n78,3600,10,50,3600,N/A,TDD,N/A
,n79,4930,40,216,4930,N/A,TDD,N/A
CA_n12-n30-n77,n12,N/A,5,N/A,740,15.2,FDD,IMD31
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,3880,10,50,3880,N/A,TDD,N/A
,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n30,N/A,5,N/A,2355,13.2,FDD,IMD3
,n77,3770,10,50,3770,N/A,TDD,N/A
,n12,707,5,25,737,N/A,FDD,N/A
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,N/A,10,N/A,3913,16.0,TDD,IMD3
CA_n12-n66-n77,n12,N/A,5,N/A,740,15.2,FDD,IMD35
,n66,1720,5,25,2120,N/A,FDD,N/A
,n77,4180,10,50,4180,N/A,TDD,N/A
,n12,707,5,25,737,N/A,FDD,N/A
,n66,N/A,5,N/A,2126,13.2,FDD,IMD3
,n77,3540,10,50,3540,N/A,TDD,N/A
,n12,704,5,25,734,N/A,FDD,N/A
,n66,1723,5,25,2123,N/A,FDD,N/A
,n77,N/A,10,N/A,4150,16.0,TDD,"IMD31,2,5"
CA_n12-n71-n77,n12,N/A,5,N/A,732,4.4,FDD,IMD5
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3504,10,50,3504,N/A,TDD,N/A
,n12,711,5,25,741,N/A,FDD,N/A
,n71,N/A,5,N/A,646,3.9,FDD,IMD5
,n77,3490,10,50,3490,N/A,TDD,N/A
CA_n13-n25-n66,n13,782,5,25,751,N/A,FDD,N/A
,n66,N/A,5,N/A,2156,7.2,FDD,IMD4
,n25,1860,5,25,1940,N/A,FDD,N/A
,n13,780,10,50,749,N/A,FDD,N/A
,n25,N/A,5,N/A,1940,6.2,FDD,IMD4
,n66,1750,5,25,2150,N/A,FDD,N/A
CA_n13-n25-n77,n13,782,5,25,751,N/A,FDD,N/A
,n25,1896,5,25,1976,N/A,FDD,N/A
,n77,N/A,10,N/A,3460,17.3,TDD,"IMD31,2"
,n13,782,5,25,751,N/A,FDD,N/A
,n25,N/A,5,N/A,1960,16.0,FDD,IMD3
,n77,3524,10,50,3524,N/A,TDD,N/A
CA_n13-n66-n77,n13,782,5,25,751,N/A,FDD,N/A
,n66,N/A,5,N/A,2146,17.1,FDD,IMD3
,n77,3710,10,50,3710,N/A,TDD,N/A
,n13,N/A,5,N/A,750,15.2,FDD,IMD35
,n66,1710,5,25,2110,N/A,FDD,N/A
,n77,4170,10,50,4170,N/A,TDD,N/A
,n13,782,5,25,751,N/A,FDD,N/A
,n66,1770,5,25,2170,N/A,FDD,N/A
,n77,N/A,10,N/A,3334,16.3,TDD,"IMD31,2,5"
CA_n14-n30-n77,n14,N/A,5,N/A,763,15.2,FDD,IMD31
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,3857,10,50,3857,N/A,TDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n30,N/A,5,N/A,2355,13.2,FDD,IMD3
,n77,3941,10,50,3941,N/A,TDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,N/A,10,N/A,3896,16.0,TDD,IMD3
CA_n14-n66-n77,n14,N/A,5,N/A,763,15.2,FDD,IMD35
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
,n77,4188,10,50,4188,N/A,TDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n66,N/A,5,N/A,2155,13.2,FDD,IMD3
,n77,3741,10,50,3741,N/A,TDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n66,1755,5,25,2155,N/A,FDD,N/A
,n77,N/A,10,N/A,3341,16.0,TDD,"IMD31,2,5"
CA_n18-n28-n41,n18,825,5,25,870,N/A,FDD,N/A
,n28,738,5,25,793,N/A,FDD,N/A
,n41,N/A,10,N/A,2562,4.4,TDD,IMD5
,n18,825,5,25,870,N/A,FDD,N/A
,n41,2505,10,50,2505,N/A,TDD,N/A
,n28,N/A,5,N/A,795,3.9,FDD,IMD5
CA_n18-n28-n77,n18,820,5,25,865,N/A,FDD,N/A
,n28,710,5,25,765,N/A,FDD,N/A
,n77,N/A,10,N/A,3770,4.0,TDD,IMD5
,n18,820,5,25,865,N/A,FDD,N/A
,n28,N/A,5,N/A,778,4.4,FDD,IMD5
,n77,4058,10,50,4058,N/A,TDD,N/A
,n18,N/A,5,N/A,865,3.9,FDD,IMD5
,n28,723,5,25,778,N/A,FDD,N/A
,n77,3757,10,50,3757,N/A,TDD,N/A
CA_n18-n40-n77,n18,817.5,5,25,862.5,N/A,FDD,N/A
,n40,2350,5,25,2350,N/A,TDD,N/A
,n77,N/A,10,N/A,3882.5,16.1,TDD,IMD3
,n18,817.5,5,25,862.5,N/A,FDD,N/A
,n40,N/A,5,N/A,2367.5,13.2,TDD,IMD3
,n77,4002.5,10,50,4002.5,N/A,TDD,N/A
,n18,N/A,5,N/A,862.5,15.2,FDD,IMD31
